Random waveform, supplied seed
Total number of intervals = 80 (6927, 52892, 98921, 61129, 40613, 53226, 38560, 103465, 104758, 94759, 37799, 8296, 69443, 12517, 43591, 20430, 93758, 10485, 16518, 83230, 5484, 55611, 20774, 96726, 32442, 73039, 74055, 51197, 59442, 35654, 78747, 42212, 52488, 36950, 16762, 79473, 61431, 87172, 108181, 80515, 37149, 13444, 72057, 70041, 90162, 52082, 24258, 72013, 58012, 45398, 50177, 34504, 66010, 73937, 55020, 53235, 97743, 5419, 14764, 7451, 48208, 16149, 78989, 18886, 75954, 44409, 16431, 85707, 58253, 103867, 21604, 90401, 84467, 99700, 32052, 18173, 67789, 51929, 83850, 18614)
Average QPS expected = 53849
Timestamp start: 1778359515396
Timestamp end: 1778360715700

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      603.8   764.7    80.4   169.7   207.7   415.9   519.1   607.7   684.0   774.7   914.1  1681.7  3761.4  8015.2 13150.1  87074.0    87172
read      681.6   694.3    86.8   314.4   350.4   534.0   653.8   739.8   804.5   883.7   989.8  1184.2  3617.9  9253.0 14866.3 108063.7   108181
read      565.4   712.2    80.4   182.7   223.2   412.7   504.0   576.4   638.3   716.5   818.3  1115.4  3705.7  8105.1 13378.6  80403.4    80515
read      295.5   255.8    80.4   136.9   152.4   273.9   324.1   349.2   368.0   390.7   422.3   482.6   771.4  3585.6 10072.1  37111.2    37149
read      253.8   133.7    86.8   150.2   165.3   237.3   269.5   288.3   301.8   318.1   341.7   384.3   578.0  1639.2  4261.0  13457.3    13444
read      301.7   251.7    74.4   128.8   144.3   259.3   325.0   358.4   381.4   408.5   449.1   540.4  1211.5  3350.6  7571.6  72014.0    72057
read      293.5   230.9    74.4   128.3   143.5   256.6   321.4   354.2   376.6   402.8   439.5   516.5   936.8  3428.0  6404.6  70041.9    70041
read      314.2   250.4    74.4   133.7   151.3   272.5   336.5   371.6   397.3   429.4   476.8   582.6  1034.8  3500.4  7360.0  90064.5    90162
read      295.8   201.8    80.4   130.4   145.5   266.8   328.3   358.5   379.9   405.1   444.8   532.3   918.2  2646.6  5816.3  52084.6    52082
read      279.2   159.5    80.4   141.1   157.5   262.2   304.2   325.2   341.1   361.5   389.6   441.5   753.0  2063.4  4305.3  24275.3    24258
read      305.2   262.6    74.4   128.5   144.0   259.6   324.8   358.6   382.2   409.9   451.7   548.1  1432.3  3273.2  7732.2  72043.9    72013
read      317.3   304.4    80.4   130.1   145.7   268.6   333.0   365.8   389.8   420.4   468.7   602.7  1366.3  4018.2  7967.8  57929.2    58012
read      298.4   234.7    74.4   131.7   147.2   270.3   327.0   355.2   375.1   400.1   435.6   516.5   934.6  3197.4  7708.4  45342.0    45398
read      307.9   296.0    74.4   131.7   147.1   269.6   329.8   360.0   381.7   407.3   448.7   548.2  1140.8  4014.3  8433.2  50173.1    50177
read      293.8   225.2    80.4   136.4   152.0   271.6   319.5   343.4   361.4   382.8   412.9   474.0   906.4  3225.1  7493.9  34496.5    34504
read      302.8   250.9    74.4   128.5   143.8   259.0   324.5   357.5   380.5   407.3   448.6   545.9  1302.6  3172.2  7473.8  66093.3    66010
read      298.0   255.0    74.4   128.4   143.6   255.6   320.5   353.6   376.6   403.5   442.0   527.0  1117.2  3487.3  7543.7  73980.0    73937
read      308.8   281.6    80.4   130.5   145.7   266.7   330.4   362.3   385.1   413.1   456.8   567.8  1218.0  3465.7  8130.2  55003.8    55020
read      315.6   321.4    80.4   130.5   145.9   269.1   331.5   363.0   385.8   413.8   458.4   575.2  1362.1  4827.9  8712.9  53170.8    53235
read      364.9   285.6    74.4   145.2   167.1   315.2   387.8   431.2   466.0   512.9   584.9   736.6  1124.9  3610.0  8453.8  97779.7    97743
read      232.8   146.2    93.8   152.8   163.5   213.8   237.6   252.7   266.0   282.5   304.7   342.9   571.0  1788.8  6952.8   5430.9     5419
read      261.9   128.9    80.4   152.7   168.8   245.2   279.3   297.6   311.6   327.8   349.6   393.3   637.4  1712.9  3833.3  14706.5    14764
read      235.2   154.6    93.8   151.6   163.1   216.1   241.0   256.2   270.2   287.0   309.5   348.2   559.8  1891.6  7515.1   7409.3     7451
read      303.3   249.9    80.4   131.6   147.0   271.1   331.0   360.5   381.7   406.5   445.9   533.8  1021.5  3342.1  7642.7  48155.1    48208
read      260.7   145.9    86.8   146.6   162.8   242.4   276.8   296.5   311.1   328.1   351.7   398.3   665.2  1915.3  4689.0  16130.8    16149
read      311.9   288.7    74.4   129.9   146.4   264.2   329.5   363.9   388.6   418.9   463.7   572.1  1259.0  3704.8  7855.7  78986.8    78989
read      268.6   158.9    80.4   144.5   161.8   250.5   288.6   308.8   322.7   341.6   367.8   415.5   668.4  1997.1  6346.1  18935.2    18886
read      298.7   228.8    74.4   129.4   145.4   260.3   324.4   358.2   381.9   409.7   450.1   537.2  1017.3  3288.2  6962.3  75841.2    75954
read      294.0   207.3    74.4   132.2   147.5   268.7   325.2   352.5   371.7   396.2   430.4   504.0   877.7  2771.1  5906.7  44333.2    44409
read      261.8   151.4    80.4   147.5   163.5   243.9   279.1   298.4   312.8   330.1   354.2   400.6   632.1  1953.1  5660.1  16425.6    16431
read      329.6   324.7    74.4   133.0   150.6   274.4   339.5   374.7   400.8   434.2   488.4   615.8  1638.8  3897.3  7976.3  85656.1    85707
read      314.3   294.3    74.4   129.6   144.7   265.4   330.6   363.6   387.4   417.5   465.1   591.4  1381.4  3720.9  7874.8  58138.2    58253
read      430.8   308.8    74.4   159.6   188.3   373.9   460.4   514.5   560.7   625.2   723.4   875.2  1282.9  3739.7  7857.0 103831.9   103867
read      268.4   120.0    80.4   145.3   162.3   259.2   297.6   316.9   331.1   346.4   370.0   407.6   546.9  1301.2  3799.8  21605.0    21604
read      283.7   150.6    74.4   131.6   148.6   259.1   318.4   350.1   372.1   397.7   431.6   493.4   717.6  1709.2  3185.6  90372.1    90401
read      281.6   146.5    74.4   130.4   146.6   256.1   318.2   350.1   372.2   397.5   430.8   492.4   714.7  1589.7  3150.9  84452.5    84467
read      302.4   152.6    74.4   138.7   157.4   278.2   338.0   370.6   394.4   423.5   463.6   540.2   756.5  1570.1  3199.0  99697.2    99700
read      269.3   101.9    74.4   136.1   151.7   266.6   310.4   331.0   344.9   363.0   385.6   423.0   514.4   742.5  2463.8  32034.8    32052
read      254.0    82.8    80.4   145.6   162.5   247.2   282.5   300.4   313.1   328.0   346.7   381.3   462.1   664.1  1955.7  18200.4    18173
read      271.1   125.0    74.4   127.7   142.6   250.1   314.7   345.0   365.3   388.2   417.0   465.0   618.9  1027.3  2498.9  67752.3    67789
read      268.0   116.0    74.4   127.9   142.4   255.7   315.1   340.7   358.4   377.8   402.1   443.6   559.0   930.6  2846.0  51924.9    51929
read      279.8   149.0    74.4   130.3   146.5   254.4   315.9   347.1   369.4   394.6   427.2   483.8   701.0  1660.0  3737.4  83754.7    83850
read      256.2   110.6    80.4   145.9   162.6   249.0   284.1   302.5   315.3   330.9   350.2   384.5   464.8   666.8  3928.0  18603.3    18614

Total QPS = 53839.1 (64606932 / 1200.0s)

Total connections = 64
Misses = 0 (0.0%)
Skipped TXs = 0 (0.0%)

RX 15957912204 bytes :   12.7 MB/s
TX          0 bytes :    0.0 MB/s
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 99.84%,2.02%,100.00%
