Random waveform, supplied seed
Total number of intervals = 80 (6927, 52892, 98921, 61129, 40613, 53226, 38560, 103465, 104758, 94759, 37799, 8296, 69443, 12517, 43591, 20430, 93758, 10485, 16518, 83230, 5484, 55611, 20774, 96726, 32442, 73039, 74055, 51197, 59442, 35654, 78747, 42212, 52488, 36950, 16762, 79473, 61431, 87172, 108181, 80515, 37149, 13444, 72057, 70041, 90162, 52082, 24258, 72013, 58012, 45398, 50177, 34504, 66010, 73937, 55020, 53235, 97743, 5419, 14764, 7451, 48208, 16149, 78989, 18886, 75954, 44409, 16431, 85707, 58253, 103867, 21604, 90401, 84467, 99700, 32052, 18173, 67789, 51929, 83850, 18614)
Average QPS expected = 53849
Timestamp start: 1778362299208
Timestamp end: 1778363499502

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      417.1   784.0    86.8   151.8   165.0   225.1   257.3   283.6   307.7   346.3   582.4  1726.7  3835.6  8040.7 10088.6   6921.1     6927
read      375.8   617.0    80.4   135.1   150.9   277.7   343.1   377.1   402.2   436.4   499.7   712.5  2862.1  8350.4 14690.1  52829.1    52892
read      606.8   745.2    80.4   221.0   273.4   470.2   571.1   644.6   708.3   786.6   887.8  1066.7  3659.8 10167.1 16156.9  98830.5    98921
read      348.8   493.3    80.4   131.6   147.0   268.1   336.9   372.0   397.7   430.8   488.3   667.7  2235.3  7487.4 13622.3  61133.4    61129
read      313.4   397.9    80.4   135.2   150.3   268.2   322.0   348.2   368.0   392.0   426.1   501.0  1308.8  6821.6 10096.3  40476.1    40613
read      329.7   441.8    80.4   132.0   147.0   266.5   331.2   363.7   387.2   416.0   460.3   578.6  1716.3  6837.7 12234.9  53284.5    53226
read      291.3   241.4    80.4   135.1   150.5   266.8   318.8   344.0   363.2   385.8   416.3   472.2   792.3  3563.0  7899.0  38585.4    38560
read      578.1   639.3    80.4   220.1   268.3   465.2   564.9   635.3   693.6   767.2   861.7  1017.4  3421.8  8731.8 16700.5 103405.7   103465
read      581.8   661.6    74.4   214.8   267.2   466.7   570.0   649.0   715.2   793.1   890.3  1045.9  3193.7  9364.6 18351.1 104630.0   104758
read      485.8   654.6    74.4   159.2   188.2   373.8   459.1   516.9   569.2   641.6   747.1   929.2  3333.5  9313.1 15874.2  94914.8    94759
read      304.8   318.3    80.4   137.8   152.8   270.0   322.5   348.0   367.6   390.9   423.5   492.5  1109.5  4863.3  9617.5  37809.5    37799
read      252.7   222.9    93.8   155.2   167.6   225.4   251.8   269.5   283.8   301.7   325.8   374.8   772.4  2773.8  7984.8   8314.5     8296
