Random waveform, supplied seed
Total number of intervals = 80 (6927, 52892, 98921, 61129, 40613, 53226, 38560, 103465, 104758, 94759, 37799, 8296, 69443, 12517, 43591, 20430, 93758, 10485, 16518, 83230, 5484, 55611, 20774, 96726, 32442, 73039, 74055, 51197, 59442, 35654, 78747, 42212, 52488, 36950, 16762, 79473, 61431, 87172, 108181, 80515, 37149, 13444, 72057, 70041, 90162, 52082, 24258, 72013, 58012, 45398, 50177, 34504, 66010, 73937, 55020, 53235, 97743, 5419, 14764, 7451, 48208, 16149, 78989, 18886, 75954, 44409, 16431, 85707, 58253, 103867, 21604, 90401, 84467, 99700, 32052, 18173, 67789, 51929, 83850, 18614)
Average QPS expected = 53849
Timestamp start: 1778610594123
Timestamp end: 1778611794418

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      244.6   120.7    93.8   168.4   185.1   240.0   258.3   268.3   274.6   284.7   295.4   316.4   374.4  1161.2  7667.8   6921.1     6927
read      295.9   259.9    74.4   131.9   147.3   266.1   318.0   345.2   366.1   391.5   427.6   501.1   944.0  3631.6  8433.4  52918.5    52892
read      414.5   682.1    74.4   135.1   152.3   261.6   329.7   383.6   429.7   494.3   621.4  1075.7  3396.2  8072.8 14332.6  98981.1    98921
read      305.9   318.3    74.4   127.1   141.6   261.7   321.8   355.6   380.0   409.7   453.1   547.9  1201.8  4353.1 10542.6  61054.6    61129
read      288.1   204.7    74.4   135.2   151.2   269.4   316.4   341.3   359.5   380.8   409.6   463.8   729.3  2849.7  7413.7  40601.9    40613
read      299.6   264.5    74.4   129.2   144.2   266.5   322.3   352.6   374.3   401.0   437.8   515.1  1040.8  3602.9  8426.6  53328.6    53226
read      289.1   198.3    74.4   137.8   153.6   271.9   317.6   341.9   359.8   380.6   408.6   461.1   721.4  2746.6  7069.4  38593.7    38560
read      460.6   749.1    74.4   140.1   158.7   267.7   335.4   394.4   453.6   556.1   790.4  1473.8  3472.8  8616.1 14345.8 103289.5   103465
read      461.8   751.8    74.4   140.9   159.8   267.2   334.1   395.6   460.8   576.9   808.7  1461.2  3472.9  8633.8 16019.8 104655.9   104758
read      399.9   663.1    74.4   132.6   149.3   256.2   323.0   374.5   417.7   473.7   583.2   960.3  3302.1  8157.8 14340.0  94685.4    94759
read      286.4   222.5    74.4   137.3   153.0   267.8   312.4   335.8   352.4   372.2   399.6   450.6   731.7  2917.5  7980.0  37756.7    37799
read      250.2   159.2    86.8   163.6   179.4   236.9   257.9   269.7   278.1   289.8   305.2   334.6   579.6  1807.3  7654.0   8291.9     8296
read      329.6   387.4    74.4   128.9   143.7   261.5   327.8   366.0   394.1   429.0   481.5   637.9  1783.9  5560.8  9840.7  69353.2    69443
read      261.6   128.3    86.8   161.3   180.1   251.9   276.3   290.4   300.0   313.0   329.8   360.4   543.1  1671.8  5069.6  12521.6    12517
read      291.6   226.9    80.4   132.4   148.3   267.9   317.4   343.6   363.2   386.1   417.2   474.6   872.6  2942.4  7741.0  43596.5    43591
read      269.3   139.7    86.8   149.2   167.3   258.8   289.3   306.1   317.8   333.3   352.9   391.0   634.5  1799.6  4544.8  20494.7    20430
read      423.7   727.6    74.4   134.8   151.8   262.1   331.0   383.5   427.8   490.8   621.0  1097.9  3596.7  8683.8 15134.6  93613.0    93758
read      268.0   239.2    93.8   164.5   182.4   247.0   269.5   282.4   292.0   304.3   319.9   354.9   821.0  3749.3  7921.4  10427.1    10485
read      268.7   143.7    93.8   158.0   176.5   258.2   284.7   298.8   310.3   322.1   341.5   375.5   618.5  1737.2  6512.8  16533.4    16518
read      357.8   510.4    74.4   133.6   149.1   258.4   327.6   372.2   405.6   448.6   513.6   720.0  2547.2  7384.5 11152.2  83234.9    83230
