Random waveform, supplied seed
Total number of intervals = 80 (6927, 52892, 98921, 61129, 40613, 53226, 38560, 103465, 104758, 94759, 37799, 8296, 69443, 12517, 43591, 20430, 93758, 10485, 16518, 83230, 5484, 55611, 20774, 96726, 32442, 73039, 74055, 51197, 59442, 35654, 78747, 42212, 52488, 36950, 16762, 79473, 61431, 87172, 108181, 80515, 37149, 13444, 72057, 70041, 90162, 52082, 24258, 72013, 58012, 45398, 50177, 34504, 66010, 73937, 55020, 53235, 97743, 5419, 14764, 7451, 48208, 16149, 78989, 18886, 75954, 44409, 16431, 85707, 58253, 103867, 21604, 90401, 84467, 99700, 32052, 18173, 67789, 51929, 83850, 18614)
Average QPS expected = 53849
Timestamp start: 1778614996822
Timestamp end: 1778616197123

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      239.3   135.7   101.3   167.3   182.2   233.1   251.1   261.5   268.8   276.7   290.1   310.9   368.9  1177.4  7695.4   6906.9     6927
read      295.5   229.8    80.4   137.6   152.9   268.5   321.9   350.3   370.3   394.8   428.8   498.2   872.8  2676.0  7993.5  52858.9    52892
read      473.4   855.7    74.4   143.1   161.6   269.0   337.0   395.6   453.5   555.2   783.6  1461.2  3932.8 10669.2 18690.2  98801.0    98921
read      328.1   342.8    74.4   133.1   148.4   266.2   330.7   367.5   394.5   427.9   479.1   649.3  1682.5  4539.2  8798.7  60975.2    61129
read      289.8   141.4    80.4   139.8   155.9   276.0   325.7   351.4   369.6   391.4   420.7   472.8   688.4  1633.3  3521.8  40664.7    40613
read      312.6   250.8    80.4   137.3   153.0   273.4   333.5   366.3   389.7   418.1   459.3   571.2  1143.4  3154.5  7683.2  53211.7    53226
read      293.0   184.5    80.4   141.8   158.3   276.9   324.9   349.6   367.3   388.5   416.7   469.5   710.2  2423.4  6803.3  38497.5    38560
read      555.3   959.2    74.4   154.1   174.8   281.3   343.7   399.4   465.1   646.0  1219.5  2227.6  4529.1 10637.6 17992.2 103430.0   103465
read      534.2   903.3    74.4   147.1   166.6   272.0   339.2   398.9   465.9   628.3  1110.0  2073.0  4372.0  9399.9 15243.1 104734.5   104758
read      450.0   801.5    74.4   137.1   154.8   265.6   333.9   388.1   435.8   512.7   692.3  1369.4  3672.2 10619.2 15983.5  94731.3    94759
read      291.2   166.6    80.4   141.0   158.2   276.7   323.3   347.5   365.3   386.1   413.5   464.8   695.8  2260.6  5547.4  37878.7    37799
read      250.5   123.3    93.8   169.0   186.1   242.9   264.2   275.2   285.2   295.2   311.3   337.3   417.0  1217.8  7264.1   8275.4     8296
read      373.1   552.4    74.4   132.5   148.4   261.7   327.1   367.3   397.5   435.5   499.6   816.2  2977.2  7444.3  9378.3  69445.9    69443
read      258.7   105.9    93.8   163.2   183.2   250.8   274.2   288.3   297.4   311.0   327.5   358.8   480.9  1273.0  3797.2  12546.3    12517
read      294.2   166.5    74.4   138.5   154.8   275.1   328.0   355.6   374.4   397.9   429.5   490.5   755.8  2060.1  4437.9  43589.5    43591
read      268.5   104.2    74.4   151.7   171.4   264.0   294.4   311.1   322.2   337.6   357.3   391.7   494.9  1011.7  3430.2  20425.9    20430
read      462.5   864.2    74.4   139.6   157.8   270.3   338.4   392.1   440.2   516.3   685.1  1347.9  4191.4 11965.2 16045.6  93658.2    93758
read      266.1   179.9    93.8   166.9   187.4   251.5   274.6   288.6   297.7   311.7   329.2   361.9   548.1  2672.6  7505.4  10442.5    10485
read      268.3   115.7    86.8   157.6   179.6   263.8   291.4   306.9   317.4   331.6   348.6   381.6   480.6   863.6  2965.2  16497.1    16518
read      407.7   745.9    74.4   133.4   149.8   260.6   327.7   374.2   412.2   462.5   562.7   948.6  3432.1  9657.9 15739.7  83141.7    83230
read      238.0   135.8    93.8   163.9   177.7   228.4   247.6   258.4   266.9   275.4   290.7   315.2   403.8  1437.1  7463.0   5508.2     5484
read      321.0   379.6    80.4   134.4   150.1   269.3   331.5   365.3   389.8   419.8   463.4   590.6  1304.1  5666.0 12639.8  55438.5    55611
read      268.4   114.6    80.4   149.3   168.4   263.2   293.9   310.8   321.8   337.2   356.8   391.8   508.4  1251.6  3550.4  20763.4    20774
read      470.7   829.3    74.4   142.2   160.5   269.3   338.0   396.7   453.4   550.2   769.7  1481.5  3878.1  9747.7 18101.6  96749.2    96726
read      287.7   151.7    86.8   144.1   161.6   277.2   319.3   341.2   357.2   374.6   400.1   448.8   661.0  1755.6  5921.3  32324.0    32442
read      369.2   517.4    74.4   134.3   150.0   263.2   332.1   374.7   407.6   451.1   528.4   820.4  2650.7  7135.6 12045.2  73005.3    73039
read      364.7   518.6    74.4   132.9   148.3   259.1   326.4   368.6   400.2   440.7   507.2   781.5  2713.1  7210.8 11090.9  74042.8    74055
read      311.5   261.5    74.4   137.3   152.8   274.0   333.4   365.0   387.9   415.7   457.0   567.7  1069.8  3540.6  7834.6  51222.9    51197
read      334.5   372.2    74.4   133.5   149.0   269.3   334.4   371.4   399.0   434.0   492.3   676.3  1686.0  5248.0 10163.7  59367.2    59442
read      293.4   170.2    80.4   142.9   160.0   279.5   324.9   348.1   365.4   385.6   412.3   465.0   700.0  2258.2  5732.3  35561.1    35654
read      386.3   677.3    74.4   134.8   150.5   261.1   327.7   370.9   403.7   447.2   519.7   812.4  3043.0  9078.7 17003.4  78733.5    78747
read      299.7   221.9    80.4   140.2   156.4   276.8   328.1   354.9   373.2   396.1   426.8   489.2   804.7  3030.6  7857.8  42223.9    42212
read      306.3   221.7    80.4   136.0   151.9   273.0   333.3   365.6   388.9   417.0   457.1   555.7   957.4  2749.1  7315.9  52456.4    52488
read      291.3   172.8    80.4   141.5   158.3   276.3   322.5   346.4   364.1   384.3   410.7   462.2   701.6  2530.6  5428.5  36954.5    36950
read      263.3   105.1    80.4   155.0   175.8   257.6   284.8   299.1   310.6   322.9   341.7   373.0   485.7  1232.9  3531.5  16748.9    16762
read      386.6   656.7    74.4   135.5   151.1   262.3   328.1   371.7   405.6   451.4   531.9   833.0  3046.6  8965.6 14515.6  79497.5    79473
read      331.9   316.4    80.4   136.7   151.9   272.7   338.2   375.6   403.0   438.0   493.5   652.9  1633.6  3907.6  7989.9  61457.1    61431
read      429.5   717.8    74.4   140.5   157.3   270.1   344.7   399.5   444.7   508.6   643.1  1140.5  3421.7  9296.7 15226.7  87146.3    87172
read      638.4  1114.3    80.4   169.9   191.9   290.6   349.7   403.9   474.2   897.5  1562.5  2846.5  5240.8 12502.2 18641.1 108165.2   108181
read      464.0   775.7    74.4   142.5   160.0   270.3   344.9   401.9   451.8   531.9   729.7  1511.7  3674.4  9010.3 16025.4  80385.4    80515
read      294.1   156.0    86.8   144.1   160.7   277.7   325.3   350.8   369.1   391.6   422.1   478.3   724.3  1848.7  4344.2  37195.1    37149
read      262.0   109.6    93.8   163.7   182.9   252.5   276.8   291.2   301.6   315.1   334.0   367.5   549.5  1388.6  3909.7  13481.1    13444
read      379.2   534.6    74.4   136.8   152.0   265.2   336.1   380.1   413.4   456.5   532.7   861.1  2813.0  7374.9  9452.9  72014.2    72057
read      377.0   519.4    80.4   136.8   152.0   266.8   338.2   382.2   415.3   458.2   534.3   857.4  2749.2  7314.1  9322.2  70021.5    70041
read      445.6   743.3    74.4   142.0   159.3   269.0   343.0   400.8   449.8   522.6   672.4  1304.8  3720.2  8765.2 15203.5  90094.3    90162
read      315.5   268.3    80.4   139.6   155.2   277.3   337.2   369.9   394.0   423.6   465.0   570.6  1077.8  3588.9  8110.2  52049.7    52082
read      289.9   190.9    86.8   151.9   170.9   274.6   311.0   330.9   344.8   363.9   389.7   437.9   707.6  2204.1  8164.5  24225.5    24258
read      415.4   672.8    80.4   137.5   153.1   268.5   341.5   389.6   427.9   480.6   594.5  1070.1  3473.4  8116.9 12372.1  72081.3    72013
read      329.2   295.8    80.4   137.7   153.0   275.8   340.7   376.8   403.5   438.0   492.1   639.8  1451.0  3856.2  7762.8  58188.6    58012
read      310.0   239.7    80.4   141.5   157.7   278.8   333.5   363.5   385.3   411.7   450.0   535.4   980.5  3333.1  7588.9  45432.8    45398
read      310.9   237.0    80.4   139.4   155.0   277.6   336.2   368.1   391.5   420.1   460.7   556.5   997.9  3146.6  7459.7  50205.6    50177
read      299.4   186.4    80.4   146.6   163.8   281.0   326.6   351.5   369.6   392.5   424.2   484.9   742.7  2412.9  7091.5  34497.9    34504
read      351.2   421.8    80.4   134.9   150.2   268.7   338.5   379.4   410.1   449.9   515.3   735.7  2051.3  5835.3  9443.4  65989.3    66010
read      397.8   644.6    80.4   136.1   151.6   265.7   338.6   385.9   422.6   470.8   569.9   935.1  3080.5  8130.5 14278.3  73903.0    73937
read      326.3   316.4    80.4   139.1   155.0   278.1   340.2   374.2   399.6   431.0   476.6   602.4  1327.8  4494.7  8291.3  55058.9    55020
read      318.3   254.2    80.4   138.9   154.6   277.4   338.6   372.0   397.1   428.5   472.7   591.3  1178.5  3261.1  7562.9  53210.6    53235
read      495.9   852.2    74.4   146.0   164.9   274.8   346.3   407.0   466.6   578.4   854.4  1640.5  4001.5  9906.4 16581.8  97683.9    97743
read      250.5   200.9   101.3   169.1   181.7   230.6   249.9   261.2   269.6   280.1   295.7   330.9   749.0  2015.3  7909.0   5466.3     5419
read      266.4   117.7    93.8   161.5   181.5   257.9   284.7   299.3   311.1   323.9   342.7   375.1   533.2  1355.7  4385.9  14760.4    14764
read      248.8   118.1    93.8   170.3   184.6   238.7   260.3   272.0   281.3   292.3   308.0   335.9   467.1  1221.2  6437.3   7433.1     7451
read      309.1   235.6    80.4   140.6   156.5   278.7   335.5   366.2   388.7   415.6   453.3   535.6   930.0  3024.9  7877.3  48181.2    48208
read      271.6   108.3    93.8   163.3   183.9   264.0   291.0   306.1   316.6   330.6   347.7   384.1   553.7  1309.5  3937.7  16139.4    16149
read      348.6   377.2    74.4   137.1   152.3   266.8   339.7   387.2   423.3   467.6   543.5   718.1  1947.7  4853.9  7952.0  78999.7    78989
read      277.1   109.0    93.8   159.8   180.0   269.5   299.9   316.5   329.0   343.1   364.2   400.2   576.3  1184.7  3528.4  18883.5    18886
read      269.1   195.3    74.4   131.0   144.9   241.2   294.3   321.8   341.2   363.8   393.5   449.2   730.8  2823.2  6908.9  75915.2    75954
read      257.4    91.7    80.4   138.7   153.3   256.7   296.8   315.4   328.0   341.8   359.8   385.5   437.6   603.5  2657.6  44529.2    44409
read      250.4    77.3    86.8   158.5   177.6   250.5   272.2   284.2   292.2   301.9   314.7   335.0   381.4   678.4  2459.4  16453.5    16431
read      253.2   122.9    74.4   130.7   144.4   234.7   285.5   312.3   330.7   351.3   376.4   417.2   549.5  1119.5  3997.5  85777.3    85707
read      255.6   108.2    80.4   134.0   148.3   248.2   295.8   318.0   333.2   349.4   369.4   398.7   464.1   663.9  2953.9  58267.6    58253
read      255.7   143.5    74.4   131.0   144.9   231.6   280.4   307.3   326.2   348.0   376.5   427.2   679.8  1658.6  4051.9 103842.2   103867
read      254.1    84.7    86.8   152.7   170.7   256.0   280.8   293.3   302.5   313.2   326.1   345.8   398.5   558.2  2791.0  21519.6    21604
read      251.3   115.6    80.4   130.1   143.5   232.2   282.4   309.4   327.9   348.9   374.5   417.1   571.6  1092.9  2876.7  90403.9    90401
read      249.8   113.4    80.4   129.1   142.3   232.1   283.1   310.1   328.3   348.2   372.9   411.3   528.2  1008.9  3376.1  84498.1    84467
read      254.3   134.6    74.4   131.1   144.8   232.4   281.8   308.8   327.7   349.3   377.2   424.7   625.7  1346.7  3746.1  99826.1    99700
read      262.8    81.7    86.8   146.7   163.2   265.3   297.6   313.4   323.9   336.9   352.1   374.3   431.3   634.9  2052.2  32101.6    32052
read      258.2    84.5    93.8   161.9   181.1   258.9   281.7   293.2   301.8   312.3   324.2   344.5   395.8   721.5  3416.7  18190.8    18173
read      255.0   109.9    74.4   131.9   146.0   242.8   293.2   318.0   335.0   353.5   374.7   408.2   490.6   790.8  3014.2  67831.1    67789
read      259.8   107.2    74.4   136.3   150.9   254.8   299.7   320.6   335.3   351.1   370.2   399.3   467.4   707.1  3524.9  51850.8    51929
read      249.5   105.8    74.4   128.7   142.1   233.1   283.9   310.4   328.4   348.4   373.4   412.4   517.1   832.9  2701.5  83913.1    83850
read      258.3    78.0    86.8   159.3   178.8   259.7   282.8   294.4   303.3   313.5   325.8   345.4   397.9   642.9  2744.0  18616.4    18614

Total QPS = 53840.0 (64607960 / 1200.0s)

Total connections = 64
Misses = 0 (0.0%)
Skipped TXs = 0 (0.0%)

RX 15958166614 bytes :   12.7 MB/s
TX          0 bytes :    0.0 MB/s
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 99.84%,4.02%,100.00%
