#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      248.7   110.5    86.8   145.0   158.9   236.2   271.2   290.8   305.0   320.9   343.5   380.4   477.9  1275.3  3915.4  30180.1    30185  1777756249033  1777756259141
read      241.9    99.0    93.8   144.5   157.4   230.4   265.1   284.5   297.8   314.5   335.7   369.0   453.7   835.0  3377.8  30183.7    30190  1777756260653  1777756270760
read      256.3   230.2    93.8   143.8   155.8   224.4   258.9   279.2   294.4   313.5   339.6   391.9   850.2  3551.3  6200.1  30176.9    30195  1777756272274  1777756282380
read      248.2   219.9    93.8   141.0   152.4   219.9   254.0   274.3   290.2   309.1   334.3   378.4   643.1  3757.5  6295.9  30257.2    30200  1777756283893  1777756293996
read      253.6   157.6    86.8   148.9   161.9   234.0   268.4   288.1   302.4   319.3   342.7   384.6   572.9  2338.5  5191.1  30243.9    30205  1777756295511  1777756305621
read      258.3   163.9    93.8   147.5   161.1   238.4   274.8   295.5   311.1   329.3   354.1   396.9   579.5  2557.5  6124.0  30314.5    30210  1777756307134  1777756317239
read      244.2   144.1    93.8   144.9   157.3   225.9   259.1   278.3   292.8   310.3   333.3   371.2   519.3  2313.6  4820.9  30166.0    30215  1777756318755  1777756328861
read      246.3   130.9    93.8   145.0   158.5   230.3   263.9   283.0   296.7   314.1   336.6   373.0   506.5  2004.3  4737.3  30269.3    30220  1777756330372  1777756340478
read      238.1   155.3    86.8   138.4   150.8   219.7   253.7   273.5   288.7   306.4   329.2   367.1   499.0  2063.6  7422.0  30228.4    30225  1777756341992  1777756352096
read      246.7   124.1    93.8   142.5   155.5   230.7   267.1   287.8   302.5   319.2   342.7   380.7   508.2  1846.0  4340.7  30216.1    30230  1777756353613  1777756363722
read      261.1   235.4    93.8   145.2   158.4   232.7   269.6   291.1   307.1   325.8   352.8   404.7   720.6  3418.2  9616.4  30249.9    30235  1777756365235  1777756375475
read      260.7   191.2    86.8   147.0   161.1   238.9   275.6   296.7   312.9   332.1   358.1   403.2   633.7  2414.8  8684.1  30304.3    30240  1777756376988  1777756387202
read      250.1   208.7    86.8   145.6   157.5   225.2   259.8   280.2   295.6   314.4   339.1   384.6   634.2  2801.5  8616.1  30140.5    30245  1777756388718  1777756398920
read      252.7   144.4    93.8   147.2   161.0   235.6   271.2   291.4   306.2   322.8   345.7   385.2   518.5  2132.3  5065.9  30327.5    30250  1777756400433  1777756410540
read      240.9   103.1    93.8   148.4   160.7   227.4   259.7   278.0   292.0   308.5   329.6   364.3   460.9  1380.6  3175.7  30358.7    30255  1777756412053  1777756422158
read      242.4    96.7    93.8   143.8   156.4   228.7   264.9   285.5   300.2   317.6   340.3   374.9   466.4  1051.8  3167.8  30227.2    30260  1777756423670  1777756433774
read      241.1    99.2    93.8   145.3   158.4   228.5   262.2   281.5   295.7   313.2   335.3   369.1   449.3   896.3  4114.4  30241.8    30265  1777756435287  1777756445390
read      241.6    94.8    93.8   146.4   159.3   229.5   263.4   282.8   296.6   313.8   335.8   369.6   451.5   850.8  3255.3  30285.6    30270  1777756446903  1777756457008
read      241.8   115.8    93.8   146.2   159.1   228.6   261.3   279.9   293.5   310.1   331.2   365.5   454.6  1686.3  4181.5  30289.9    30275  1777756458521  1777756468625
