1778082497991 Linux 6.8.0-1021-gcp (memcache-server-9cj8) 05/06/26 _x86_64_ (4 CPU)
1778082498991
1778082498993 15:48:17 CPU %usr %nice %sys %iowait %irq %soft %steal %guest %gnice %idle
1778082498994 15:48:18 all 0.25 0.00 1.01 0.00 0.00 0.00 0.00 0.00 0.00 98.74
1778082499992 15:48:19 all 0.50 0.00 0.50 0.00 0.00 0.00 0.00 0.00 0.00 99.00
1778082500991 15:48:20 all 0.25 0.00 0.25 0.00 0.00 0.00 0.00 0.00 0.00 99.50
1778082501992 15:48:21 all 0.00 0.00 0.75 0.00 0.00 0.25 0.00 0.00 0.00 99.00
1778082502992 15:48:22 all 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 100.00
1778082503992 15:48:23 all 0.50 0.00 0.75 0.00 0.00 0.00 0.00 0.00 0.00 98.76
1778082504992 15:48:24 all 0.25 0.00 0.25 0.00 0.00 0.00 0.00 0.00 0.00 99.50
1778082505992 15:48:25 all 0.75 0.00 0.50 0.00 0.00 0.25 0.00 0.00 0.00 98.50
1778082506992 15:48:26 all 0.00 0.00 0.80 0.00 0.00 0.00 0.00 0.00 0.00 99.20
1778082507992 15:48:27 all 0.26 0.00 0.53 0.00 0.00 1.06 0.00 0.00 0.00 98.15
1778082508992 15:48:28 all 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 100.00
1778082509992 15:48:29 all 0.76 0.00 1.01 0.00 0.00 0.00 0.00 0.00 0.00 98.23
1778082510992 15:48:30 all 0.28 0.00 0.85 0.00 0.00 0.85 0.00 0.00 0.00 98.01
1778082511992 15:48:31 all 0.28 0.00 1.12 0.00 0.00 1.40 0.00 0.00 0.00 97.21
1778082512992 15:48:32 all 0.50 0.00 0.75 0.00 0.00 0.00 0.00 0.00 0.00 98.76
1778082513993 15:48:33 all 0.54 0.00 1.34 0.00 0.00 1.34 0.00 0.00 0.00 96.77
1778082514993 15:48:34 all 0.86 0.00 2.59 0.00 0.00 3.75 0.00 0.00 0.00 92.80
1778082515993 15:48:35 all 0.27 0.00 2.18 0.00 0.00 1.36 0.00 0.00 0.00 96.19
1778082516993 15:48:36 all 0.00 0.00 0.25 0.00 0.00 0.00 0.00 0.00 0.00 99.75
1778082517993 15:48:37 all 0.84 0.00 5.04 0.00 0.00 3.92 0.00 0.00 0.00 90.20
1778082518993 15:48:38 all 1.75 0.00 6.41 0.00 0.00 5.25 0.00 0.00 0.00 86.59
1778082519993 15:48:39 all 0.26 0.00 1.58 0.00 0.00 1.05 0.00 0.00 0.00 97.11
1778082520994 15:48:40 all 0.76 0.00 0.76 0.00 0.00 0.00 0.00 0.00 0.00 98.48
1778082521994 15:48:41 all 2.06 0.00 9.41 0.00 0.00 7.65 0.00 0.00 0.00 80.88
1778082522993 15:48:42 all 1.74 0.00 8.99 0.00 0.00 7.25 0.00 0.00 0.00 82.03
1778082523993 15:48:43 all 0.00 0.00 0.25 0.00 0.00 0.00 0.00 0.00 0.00 99.75
1778082524994 15:48:44 all 1.30 0.00 4.42 0.00 0.00 3.38 0.00 0.00 0.00 90.91
1778082525994 15:48:45 all 2.05 0.00 13.45 0.00 0.00 10.82 0.00 0.00 0.00 73.68
1778082526993 15:48:46 all 1.91 0.00 8.99 0.27 0.00 7.08 0.00 0.00 0.00 81.74
1778082527993 15:48:47 all 0.25 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 99.75
1778082528994 15:48:48 all 2.17 0.00 11.68 0.00 0.00 8.15 0.00 0.00 0.00 77.99
1778082529994 15:48:49 all 3.65 0.00 18.26 0.00 0.00 13.20 0.00 0.00 0.00 64.89
1778082530993 15:48:50 all 1.56 0.00 7.53 0.00 0.00 4.42 0.00 0.00 0.00 86.49
1778082531993 15:48:51 all 0.00 0.00 0.50 0.00 0.00 0.00 0.00 0.00 0.00 99.50
1778082532995 15:48:52 all 4.16 0.00 20.50 0.00 0.00 14.13 0.00 0.00 0.00 61.22
1778082533994 15:48:53 all 3.08 0.00 24.09 0.00 0.00 14.85 0.00 0.00 0.00 57.98
1778082534993 15:48:54 all 0.51 0.00 2.04 0.00 0.00 0.76 0.00 0.00 0.00 96.69
1778082535994 15:48:55 all 1.28 0.00 5.36 0.00 0.00 3.57 0.00 0.00 0.00 89.80
1778082536995 15:48:56 all 4.05 0.00 26.76 0.00 0.00 17.84 0.00 0.00 0.00 51.35
1778082537994 15:48:57 all 3.15 0.00 20.21 0.00 0.00 14.44 0.00 0.00 0.00 62.20
1778082538993 15:48:58 all 0.25 0.00 0.75 0.00 0.00 0.00 0.00 0.00 0.00 99.00
1778082539995 15:48:59 all 1.85 0.00 14.78 0.00 0.00 9.23 0.00 0.00 0.00 74.14
1778082540995 15:49:00 all 4.62 0.00 29.08 0.00 0.00 17.66 0.00 0.00 0.00 48.64
1778082541994 15:49:01 all 1.82 0.00 14.58 0.00 0.00 9.38 0.00 0.00 0.00 74.22
1778082542994 15:49:02 all 0.25 0.00 0.50 0.00 0.00 0.00 0.00 0.00 0.00 99.25
1778082543996 15:49:03 all 3.53 0.00 25.54 0.00 0.00 16.03 0.00 0.00 0.00 54.89
1778082544995 15:49:04 all 3.86 0.00 31.40 0.00 0.00 19.83 0.00 0.00 0.00 44.90
1778082545994 15:49:05 all 1.28 0.00 6.38 0.00 0.00 3.83 0.00 0.00 0.00 88.52
1778082546995 15:49:06 all 0.26 0.00 3.06 0.00 0.00 2.30 0.00 0.00 0.00 94.39
1778082547996 15:49:07 all 4.99 0.00 32.55 0.00 0.00 23.62 0.00 0.00 0.00 38.85
1778082548994 15:49:08 all 3.79 0.00 29.27 0.00 0.00 19.78 0.00 0.00 0.00 47.15
1778082549994 15:49:09 all 0.76 0.00 0.25 0.00 0.00 0.25 0.00 0.00 0.00 98.74
1778082550997 15:49:10 all 1.53 0.00 13.81 0.00 0.00 9.72 0.00 0.00 0.00 74.94
1778082551996 15:49:11 all 5.15 0.00 34.42 0.00 0.00 23.85 0.00 0.00 0.00 36.59
1778082552994 15:49:12 all 3.15 0.00 20.73 0.00 0.00 14.17 0.00 0.00 0.00 61.94
1778082553994 15:49:13 all 0.25 0.00 0.75 0.00 0.00 0.00 0.00 0.00 0.00 99.00
1778082554995 15:49:14 all 0.25 0.00 0.25 0.00 0.00 0.00 0.00 0.00 0.00 99.50
1778082555995 15:49:15 all 0.50 0.00 0.50 0.00 0.00 0.00 0.00 0.00 0.00 99.00
1778082556995 15:49:16 all 3.78 0.00 1.76 0.00 0.00 0.25 0.00 0.00 0.00 94.21
1778082557995 15:49:17 all 3.27 0.00 2.02 0.00 0.00 0.00 0.00 0.00 0.00 94.71
1778082558995 15:49:18 all 0.50 0.00 0.50 0.00 0.00 0.25 0.00 0.00 0.00 98.75
1778082559995 15:49:19 all 0.00 0.00 1.01 0.00 0.00 0.00 0.00 0.00 0.00 98.99
1778082560995 15:49:20 all 0.51 0.00 0.25 0.00 0.00 0.00 0.00 0.00 0.00 99.24
1778082561995 15:49:21 all 0.53 0.00 0.00 0.00 0.00 0.27 0.00 0.00 0.00 99.20
1778082562995 15:49:22 all 0.26 0.00 0.79 0.00 0.00 0.79 0.00 0.00 0.00 98.16
