Random waveform, supplied seed
Total number of intervals = 80 (6927, 52892, 98921, 61129, 40613, 53226, 38560, 103465, 104758, 94759, 37799, 8296, 69443, 12517, 43591, 20430, 93758, 10485, 16518, 83230, 5484, 55611, 20774, 96726, 32442, 73039, 74055, 51197, 59442, 35654, 78747, 42212, 52488, 36950, 16762, 79473, 61431, 87172, 108181, 80515, 37149, 13444, 72057, 70041, 90162, 52082, 24258, 72013, 58012, 45398, 50177, 34504, 66010, 73937, 55020, 53235, 97743, 5419, 14764, 7451, 48208, 16149, 78989, 18886, 75954, 44409, 16431, 85707, 58253, 103867, 21604, 90401, 84467, 99700, 32052, 18173, 67789, 51929, 83850, 18614)
Average QPS expected = 53849
Timestamp start: 1778621071812
Timestamp end: 1778622272117

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      246.1   109.7   101.3   172.3   188.1   241.7   260.0   269.7   276.1   286.1   296.2   316.6   373.5  1177.3  6665.2   6947.1     6927
read      310.1   266.1    74.4   142.8   159.1   275.0   330.3   359.7   380.4   404.5   440.0   512.2  1102.2  3812.3  7842.0  52897.4    52892
read      482.5   812.2    74.4   145.9   164.6   277.3   348.9   404.1   456.7   547.0   804.2  1564.4  3706.1  9177.0 16056.7  98895.7    98921
read      308.1   296.9    80.4   135.0   150.1   264.0   326.0   360.1   384.3   413.2   454.3   542.8  1168.7  3993.6  8115.4  61122.1    61129
read      296.5   185.2    80.4   144.8   161.3   277.3   326.3   352.1   370.3   392.5   422.3   474.7   754.0  2640.5  5809.6  40714.3    40613
read      299.8   221.8    74.4   138.6   153.9   269.8   327.5   358.2   379.8   404.6   439.2   504.1   896.7  3086.8  7029.7  53248.1    53226
read      292.6   196.8    80.4   144.5   160.9   275.5   322.3   346.6   364.4   385.0   411.9   462.1   727.8  2570.2  7775.0  38524.7    38560
read      510.0   791.8    74.4   149.7   169.0   282.0   351.9   408.4   466.6   599.2  1051.2  1776.7  3647.2  8065.6 12914.1 103556.0   103465
read      604.9   981.9    80.4   163.3   184.8   296.0   363.2   418.3   482.5   701.8  1412.8  2911.4  4473.8  9187.6 15025.8 104681.9   104758
read      418.6   655.0    74.4   139.4   156.2   265.2   335.7   387.0   429.7   491.5   625.0  1183.1  3335.3  7840.8 12428.3  94626.2    94759
read      289.6   164.5    80.4   145.0   161.2   274.7   320.3   344.1   361.7   381.8   407.5   457.3   683.4  2368.2  4435.0  37739.3    37799
read      246.1   124.0    93.8   165.5   180.5   235.0   254.7   266.8   274.4   286.0   298.8   325.7   530.5  1568.3  5228.0   8345.1     8296
read      330.8   370.0    80.4   135.8   151.1   265.4   333.4   371.8   399.6   433.9   485.0   623.4  1694.2  5127.3  8888.5  69407.9    69443
read      253.9   121.1    86.8   162.1   179.0   244.6   267.8   280.5   290.2   301.3   316.9   344.0   499.3  1653.9  4608.6  12532.7    12517
read      299.0   233.3    80.4   141.5   157.1   272.4   323.6   350.9   370.4   393.8   425.2   484.3   905.3  3306.5  7448.1  43577.3    43591
read      269.4   152.4    86.8   152.4   170.0   258.5   289.0   305.6   317.3   332.7   352.2   389.4   614.7  1832.1  7404.5  20434.5    20430
read      448.5   764.8    74.4   142.0   159.7   268.1   338.1   391.1   435.7   504.7   671.2  1359.4  3743.6  9003.6 14913.3  93824.5    93758
read      255.1   181.2    93.8   163.8   180.2   240.4   262.2   273.7   283.5   294.2   310.7   339.8   598.6  2616.3  7513.4  10464.1    10485
read      262.6   122.2    93.8   157.8   176.1   253.2   279.2   293.6   304.6   317.0   335.8   368.5   573.3  1574.9  4311.9  16524.8    16518
read      408.1   684.2    74.4   139.9   156.3   269.6   339.4   386.0   422.7   470.1   559.4   877.5  3487.2  8142.3 13597.5  83273.6    83230
read      233.8   180.7   109.4   161.6   173.5   220.1   236.2   247.0   253.7   264.0   275.2   300.2   549.9  2008.1  7748.0   5460.4     5484
read      305.4   282.6    80.4   136.4   151.4   266.1   325.4   357.4   379.8   406.5   444.6   522.5  1130.2  3913.9  8006.5  55589.2    55611
read      272.1   127.8    93.8   156.7   174.9   263.2   293.2   309.6   320.3   335.7   354.8   390.0   594.9  1701.9  3904.3  20733.9    20774
read      407.3   666.8    74.4   139.5   156.0   262.0   330.9   380.5   421.6   477.2   590.2   999.6  3314.3  8055.8 15840.3  96679.0    96726
read      300.9   223.6    80.4   149.5   166.2   278.6   320.5   343.3   360.2   379.4   405.2   463.3   979.7  2912.2  7855.8  32454.2    32442
read      353.4   464.1    74.4   134.6   150.4   267.4   336.7   378.0   408.8   448.3   507.7   699.9  2274.7  6447.8 12318.6  72981.3    73039
read      344.9   448.6    80.4   133.1   148.9   263.5   332.3   373.1   403.0   440.5   497.7   673.7  2082.8  6397.8 11922.0  74034.8    74055
read      307.2   258.9    80.4   137.7   153.1   271.7   328.6   359.5   381.4   406.7   443.5   515.2  1143.8  3585.7  7573.4  51158.4    51197
read      316.5   311.7    74.4   136.2   151.5   268.0   330.5   365.1   389.9   419.9   461.8   559.4  1358.5  4339.4  8107.7  59425.8    59442
read      296.7   189.1    86.8   148.2   164.5   278.8   323.8   347.0   364.6   385.1   412.5   464.8   775.1  2717.4  5522.5  35634.8    35654
read      380.9   559.4    74.4   140.6   156.7   271.2   340.7   384.8   418.7   462.1   535.3   774.9  2840.9  7683.1 11044.2  78758.7    78747
read      301.8   203.0    86.8   145.9   162.1   278.6   329.2   356.0   374.3   397.6   429.0   489.8   863.7  2656.6  7294.5  42173.8    42212
read      314.3   252.3    80.4   142.0   157.9   277.0   337.0   369.4   393.0   421.6   461.6   551.4  1092.7  3237.6  7847.2  52494.0    52488
read      301.7   208.1    86.8   148.0   164.4   280.7   328.7   354.1   371.8   394.0   423.9   478.3   802.3  2928.9  7574.8  36919.0    36950
read      272.1   133.1    93.8   161.2   179.4   261.1   289.9   306.0   317.3   332.3   351.3   389.3   617.5  1642.0  4253.3  16729.9    16762
read      384.6   572.3    80.4   140.1   156.2   271.3   344.7   392.5   429.0   476.0   559.4   807.1  2783.6  7880.2 12942.7  79426.7    79473
read      338.5   539.0    74.4   140.6   156.4   275.6   341.6   378.8   405.7   439.8   491.4   633.5  1653.1  4598.9 10522.1  61428.3    61431
read      405.3   619.8    74.4   140.4   157.1   270.4   345.0   397.3   438.8   496.3   606.5   953.8  3125.5  7955.3 14161.6  87175.3    87172
read      605.5  1007.9    80.4   165.0   186.5   296.0   375.6   444.5   522.2   783.5  1392.6  2625.5  4322.9 11972.5 16393.4 108170.4   108181
read      413.8   622.7    80.4   142.4   159.3   273.0   348.6   400.8   442.7   500.9   618.9  1027.5  3164.2  7963.9 12939.1  80336.7    80515
read      299.0   200.3    80.4   146.3   162.8   277.1   324.2   349.2   367.4   389.5   419.8   477.2   854.6  2763.9  7113.8  37081.0    37149
read      261.6   116.2   101.3   164.6   183.1   253.1   277.3   291.4   301.3   314.0   331.2   362.6   502.8  1445.2  4268.1  13459.9    13444
read      363.8   501.5    80.4   139.3   154.8   269.2   340.2   383.4   415.7   456.5   519.3   715.7  2410.4  7551.7 10760.6  72163.8    72057
read      360.9   478.2    80.4   140.4   156.5   274.3   344.6   387.3   418.9   458.7   519.7   690.1  2325.9  7224.5 10974.1  69924.1    70041
read      414.6   651.5    74.4   141.3   158.3   270.8   345.6   399.7   443.5   504.9   627.4  1037.0  3150.4  8173.6 14574.1  90212.4    90162
read      331.9   334.2    80.4   143.6   160.1   283.0   344.1   378.3   402.7   433.5   479.3   598.2  1422.5  4699.9 10427.5  52113.3    52082
