Random waveform, supplied seed
Total number of intervals = 80 (6927, 52892, 98921, 61129, 40613, 53226, 38560, 103465, 104758, 94759, 37799, 8296, 69443, 12517, 43591, 20430, 93758, 10485, 16518, 83230, 5484, 55611, 20774, 96726, 32442, 73039, 74055, 51197, 59442, 35654, 78747, 42212, 52488, 36950, 16762, 79473, 61431, 87172, 108181, 80515, 37149, 13444, 72057, 70041, 90162, 52082, 24258, 72013, 58012, 45398, 50177, 34504, 66010, 73937, 55020, 53235, 97743, 5419, 14764, 7451, 48208, 16149, 78989, 18886, 75954, 44409, 16431, 85707, 58253, 103867, 21604, 90401, 84467, 99700, 32052, 18173, 67789, 51929, 83850, 18614)
Average QPS expected = 53849
Timestamp start: 1778622293925
Timestamp end: 1778623494215

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      230.5   123.8   101.3   162.2   176.2   226.3   242.7   251.4   257.9   266.5   275.0   293.8   347.3  1168.1  7662.0   6887.6     6927
read      294.2   227.1    80.4   135.9   150.8   263.7   317.9   346.4   367.3   392.0   425.6   492.4   983.8  3184.5  7042.7  52937.1    52892
read      418.8   697.9    74.4   140.2   157.5   265.2   331.5   384.7   431.0   497.2   626.4  1062.1  3323.1  9022.9 15394.5  98929.1    98921
read      317.7   291.6    80.4   135.0   150.3   265.1   328.4   364.0   389.4   420.2   464.3   596.3  1488.0  3645.7  7843.6  61060.9    61129
read      290.7   191.5    86.8   141.7   157.4   274.0   322.4   346.9   364.6   384.8   410.5   459.4   722.1  2608.1  7114.2  40599.7    40613
read      301.1   236.9    80.4   136.9   151.9   267.0   324.8   356.3   377.9   403.0   438.0   513.3  1048.1  3060.8  7499.3  53185.2    53226
read      287.7   171.2    80.4   141.6   157.2   273.5   319.7   343.4   360.4   379.5   403.8   452.8   706.1  2257.2  5944.5  38572.6    38560
read      458.1   733.2    74.4   145.1   163.7   269.6   336.3   396.0   456.0   558.8   785.0  1437.1  3439.7  8979.9 14703.2 103452.1   103465
read      500.6   796.7    74.4   150.1   169.4   273.9   338.5   397.9   466.9   618.6   993.3  1696.6  3643.4  8712.7 15676.1 104742.8   104758
read      396.1   645.6    74.4   138.0   154.1   259.7   327.9   378.1   418.7   470.1   564.8   909.7  3278.7  8305.7 13316.9  94683.9    94759
read      285.8   157.8    86.8   143.6   159.1   272.2   316.8   340.4   357.4   376.5   402.5   451.7   674.2  2037.6  4224.6  37768.1    37799
read      242.1   152.7   101.3   160.9   175.9   229.1   247.9   258.5   266.9   275.3   290.4   315.4   612.7  2045.1  5081.2   8251.7     8296
read      322.7   385.0    74.4   134.0   148.9   258.3   322.8   359.9   386.2   417.6   461.4   569.5  1745.1  5530.3  9468.9  69337.5    69443
read      246.3   126.0    93.8   156.1   173.2   236.3   258.8   270.9   279.9   290.9   305.8   333.0   530.3  1639.7  4027.4  12506.6    12517
read      288.4   188.6    80.4   140.1   155.1   268.9   318.2   344.5   363.5   385.5   414.4   465.7   705.6  2722.2  6092.0  43617.8    43591
read      272.9   167.9    86.8   152.3   170.0   261.4   290.8   307.0   318.2   333.7   353.7   392.3   653.2  1976.4  7445.6  20416.0    20430
read      413.6   716.4    74.4   138.3   154.5   258.9   326.7   377.7   419.9   476.3   589.7  1033.9  3557.9  8458.4 15732.2  93830.3    93758
read      243.5   114.3    93.8   158.6   175.0   235.5   256.0   267.8   275.2   286.9   300.2   326.5   464.7  1382.6  4919.9  10434.3    10485
read      255.6   105.9    93.8   153.0   170.7   248.1   273.5   287.8   297.0   310.5   326.7   358.2   517.0  1513.5  3000.4  16538.9    16518
read      346.4   501.2    74.4   132.1   147.0   251.6   318.8   361.4   392.6   430.5   487.2   671.4  2472.3  7277.9 12339.8  83137.3    83230
read      225.9   159.4   101.3   154.6   166.5   212.9   229.8   238.9   246.7   254.6   268.6   292.9   543.5  1747.9  7446.4   5525.3     5484
read      295.0   255.0    74.4   134.9   149.7   262.6   319.5   350.3   372.1   397.8   432.2   497.9   926.8  3142.4  8298.6  55632.7    55611
read      276.8   187.2    93.8   153.4   171.1   263.7   293.2   309.7   320.7   336.6   357.3   397.2   688.7  2161.2  7861.7  20748.7    20774
read      451.2   736.6    80.4   145.5   163.6   273.4   343.3   399.6   449.7   526.7   698.3  1362.9  3526.8  8526.5 15803.0  96649.9    96726
read      291.9   175.7    86.8   149.7   165.8   277.4   318.4   340.6   357.0   375.4   402.1   452.9   713.0  2145.1  7014.8  32410.3    32442
read      355.9   519.9    74.4   136.6   151.8   263.1   330.2   371.1   401.0   437.5   494.8   669.1  2532.8  7557.1 11456.8  73119.1    73039
read      343.8   453.2    74.4   134.6   149.7   260.0   327.2   367.8   397.1   433.1   487.5   649.7  2278.3  6455.6 10927.2  74034.2    74055
read      303.0   267.3    80.4   139.1   154.1   269.9   325.3   355.3   376.0   400.6   433.9   498.8  1031.1  3783.7  7981.8  51175.1    51197
read      305.2   284.2    80.4   137.6   152.3   266.7   326.4   359.2   382.4   409.3   447.3   521.4  1033.8  3764.3  9224.1  59451.2    59442
read      288.6   175.5    80.4   145.4   161.3   274.3   317.7   340.8   357.7   376.6   402.4   450.5   686.3  2325.6  7200.2  35748.3    35654
read      359.7   513.1    80.4   136.4   151.8   260.5   328.2   370.6   401.6   440.3   499.9   697.6  2664.1  7343.3 10085.3  78730.4    78747
read      294.4   185.8    80.4   143.1   158.7   274.8   323.9   350.1   368.7   390.9   420.3   471.6   781.1  2601.0  6241.5  42196.1    42212
read      304.9   256.8    80.4   140.7   156.0   271.6   326.9   357.3   378.7   403.9   440.6   513.2   972.9  3447.6  8202.0  52414.8    52488
read      296.0   186.3    86.8   146.1   162.1   277.0   322.6   347.2   365.4   386.7   415.4   469.7   795.6  2647.2  6026.3  36967.7    36950
read      267.9   115.6    93.8   158.5   177.3   259.5   286.4   300.9   312.3   325.3   343.9   377.4   567.3  1447.0  3546.5  16801.2    16762
read      369.3   533.2    80.4   138.2   153.5   265.2   335.9   382.0   416.4   459.5   528.3   745.9  2620.5  7630.2 11003.3  79551.1    79473
read      319.7   297.9    80.4   138.6   153.7   270.9   335.4   371.3   397.2   428.7   471.6   582.5  1311.9  3922.3  8109.6  61535.1    61431
read      396.3   641.3    80.4   140.0   156.3   267.3   338.5   389.0   429.0   480.6   571.4   853.9  3087.6  8411.1 13341.5  87088.3    87172
read      632.5  1042.9    80.4   170.3   194.1   302.1   358.1   402.9   459.8   831.1  1556.4  2991.0  4668.0 10570.5 16398.1 108201.7   108181
read      400.9   634.3    80.4   140.4   156.8   267.5   339.0   390.0   430.1   484.2   586.4   943.6  2980.3  8110.0 14450.3  80495.9    80515
read      296.2   172.7    86.8   147.9   163.6   279.2   325.4   350.1   368.0   389.4   417.8   469.4   743.9  2182.0  5722.5  37042.1    37149
read      263.2   133.9   101.3   163.0   182.2   254.1   278.1   291.7   301.7   314.5   332.1   364.1   517.3  1544.6  4554.7  13403.5    13444
read      351.7   470.5    80.4   138.1   153.2   266.1   334.7   375.9   406.3   444.5   500.6   672.3  2212.6  6901.2 11048.7  71921.1    72057
read      373.2   516.0    80.4   137.9   153.0   267.1   337.4   381.3   414.4   457.6   533.0   830.7  2608.1  7241.2 11193.7  70132.3    70041
read      447.9   781.5    80.4   142.1   159.4   267.4   336.2   390.7   436.9   504.8   652.5  1292.8  3987.9  9186.8 15126.5  90230.5    90162
read      302.3   221.6    80.4   138.4   153.1   269.8   327.6   359.6   382.2   408.9   447.4   525.7   979.4  2867.3  6414.0  52078.1    52082
read      284.2   159.2    86.8   152.1   169.0   271.5   306.2   324.6   338.9   356.3   380.2   427.4   670.8  2048.1  5596.8  24321.3    24258
read      360.2   487.0    80.4   137.9   153.0   267.4   337.0   379.3   410.7   450.7   509.6   712.0  2411.0  7101.1 11034.8  72018.0    72013
read      327.0   301.3    74.4   139.7   155.2   276.3   340.0   375.7   401.9   434.6   485.5   620.1  1375.4  4062.8  8057.6  57957.7    58012
read      307.3   265.6    80.4   141.9   157.7   275.7   329.1   358.0   378.3   402.2   435.4   501.7  1055.9  3672.1  8105.9  45465.0    45398
read      312.0   305.1    80.4   140.7   156.1   274.7   332.1   363.7   386.4   413.6   452.6   533.6  1029.4  4270.2  8770.7  50278.1    50177
read      292.1   202.0    80.4   144.2   160.1   272.5   316.0   339.6   356.9   376.5   404.0   462.8   820.9  2617.0  7778.8  34590.3    34504
read      335.9   379.7    74.4   136.4   151.3   265.9   332.3   370.7   398.7   433.5   486.8   654.5  1816.7  5309.0  9204.8  65994.3    66010
read      360.8   534.0    80.4   136.3   151.6   263.1   331.0   373.1   404.0   443.4   501.6   682.6  2677.2  7634.8 11910.3  73884.3    73937
