Random waveform, supplied seed
Total number of intervals = 80 (6927, 52892, 98921, 61129, 40613, 53226, 38560, 103465, 104758, 94759, 37799, 8296, 69443, 12517, 43591, 20430, 93758, 10485, 16518, 83230, 5484, 55611, 20774, 96726, 32442, 73039, 74055, 51197, 59442, 35654, 78747, 42212, 52488, 36950, 16762, 79473, 61431, 87172, 108181, 80515, 37149, 13444, 72057, 70041, 90162, 52082, 24258, 72013, 58012, 45398, 50177, 34504, 66010, 73937, 55020, 53235, 97743, 5419, 14764, 7451, 48208, 16149, 78989, 18886, 75954, 44409, 16431, 85707, 58253, 103867, 21604, 90401, 84467, 99700, 32052, 18173, 67789, 51929, 83850, 18614)
Average QPS expected = 53849
Timestamp start: 1778619796356
Timestamp end: 1778620996648

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      227.4   113.2    93.8   162.5   175.9   222.7   238.0   247.2   253.0   261.5   271.5   289.5   341.0  1186.3  6619.9   6923.7     6927
read      293.1   230.4    80.4   135.6   150.7   264.5   317.5   345.0   365.5   389.7   422.8   488.2   918.2  3147.4  7545.8  52891.0    52892
read      450.0   753.3    74.4   141.2   159.1   267.7   335.1   388.8   437.1   514.4   698.6  1399.4  3524.1  8718.7 16345.4  98857.6    98921
read      315.2   331.2    74.4   134.4   149.5   266.5   328.9   363.3   387.9   417.5   458.4   548.8  1391.0  4608.8  9321.9  61189.8    61129
read      288.9   156.7    80.4   142.2   158.1   275.1   322.9   347.6   365.6   386.3   412.9   460.7   671.0  2098.6  3922.0  40599.5    40613
read      297.7   229.2    74.4   135.8   150.9   267.9   325.4   356.1   377.3   402.4   436.1   501.3   889.0  3222.0  7554.6  53223.9    53226
read      289.4   176.8    80.4   141.7   157.6   274.3   321.1   345.6   363.5   384.0   410.5   458.5   670.4  2609.4  5140.1  38630.7    38560
read      472.1   776.0    74.4   143.3   161.7   265.7   331.8   386.4   438.7   534.2   784.0  1602.1  3703.2  8068.1 14361.7 103401.3   103465
read      554.9   941.9    74.4   153.0   173.9   279.4   339.3   386.8   435.2   552.7  1239.8  2574.1  4439.2  9160.5 15173.8 104822.4   104758
read      420.1   673.7    74.4   139.4   156.1   265.0   334.7   386.3   428.9   489.7   618.0  1165.0  3372.3  8043.6 13348.6  94794.1    94759
read      286.1   162.1    80.4   141.7   157.4   272.8   318.6   342.3   359.5   378.9   404.1   453.4   655.8  2102.8  5706.1  37736.7    37799
read      251.7   252.2    93.8   166.8   182.0   235.7   255.5   267.5   275.0   287.2   301.6   330.4   544.6  1945.2 12683.5   8304.5     8296
read      321.8   354.9    74.4   132.8   147.6   260.4   326.7   364.5   391.8   425.1   470.8   594.1  1633.8  4986.7  8711.1  69470.1    69443
read      251.9   126.3    93.8   159.6   177.2   242.0   265.2   277.6   287.7   298.1   315.1   343.2   501.1  1586.9  5017.1  12434.8    12517
read      289.9   184.3    80.4   139.6   154.7   270.7   320.4   346.6   365.9   388.1   417.4   468.8   731.8  2547.0  6199.0  43540.9    43591
read      279.0   199.4    86.8   154.4   173.6   265.3   295.2   311.9   323.3   338.8   359.7   397.4   662.0  2661.1  7882.7  20409.1    20430
read      440.1   713.8    74.4   139.7   156.8   264.8   335.0   388.8   435.1   505.8   671.1  1347.6  3645.8  8031.6 13194.2  93892.3    93758
read      253.9   129.6    93.8   165.9   183.6   243.4   265.1   276.5   286.7   296.8   313.7   342.0   502.4  1585.1  7079.0  10432.7    10485
read      269.4   117.1    93.8   158.2   178.3   260.6   288.4   303.8   315.0   329.1   346.8   383.6   565.9  1536.9  3534.1  16563.1    16518
read      358.9   530.9    68.9   131.1   146.4   256.2   325.4   369.9   403.0   446.1   511.0   721.2  2676.7  7328.7 12236.7  83271.0    83230
read      235.4   149.7    93.8   163.5   176.0   223.1   240.0   250.1   257.2   267.2   279.1   303.6   547.3  1615.0  7513.8   5494.5     5484
read      300.5   230.0    80.4   133.9   149.5   267.6   326.4   358.7   381.5   408.1   445.9   520.1   991.6  3027.6  7193.7  55604.9    55611
read      275.3   130.1    80.4   154.0   173.1   267.3   297.7   314.7   326.9   341.7   362.4   397.2   552.3  1737.4  3324.5  20809.3    20774
read      429.6   696.4    74.4   138.9   155.9   264.0   333.2   386.5   432.1   499.3   644.4  1207.8  3582.7  8058.6 12303.9  96653.5    96726
read      295.7   184.5    86.8   148.8   166.0   279.2   320.9   343.7   360.6   379.7   404.9   458.8   753.9  2553.4  7030.2  32522.6    32442
read      340.9   439.0    74.4   131.3   146.3   259.5   327.8   368.4   398.3   435.3   492.7   670.9  2047.7  6305.9 10162.8  72875.6    73039
read      345.4   464.3    74.4   132.4   147.5   259.8   328.1   369.2   399.2   436.0   492.5   654.2  2332.4  6981.3  9047.4  74073.7    74055
read      304.1   255.9    80.4   137.6   152.9   272.9   329.6   360.4   382.2   407.2   442.6   507.7   939.5  3581.1  8016.6  51124.0    51197
