Random waveform, supplied seed
Total number of intervals = 80 (6927, 52892, 98921, 61129, 40613, 53226, 38560, 103465, 104758, 94759, 37799, 8296, 69443, 12517, 43591, 20430, 93758, 10485, 16518, 83230, 5484, 55611, 20774, 96726, 32442, 73039, 74055, 51197, 59442, 35654, 78747, 42212, 52488, 36950, 16762, 79473, 61431, 87172, 108181, 80515, 37149, 13444, 72057, 70041, 90162, 52082, 24258, 72013, 58012, 45398, 50177, 34504, 66010, 73937, 55020, 53235, 97743, 5419, 14764, 7451, 48208, 16149, 78989, 18886, 75954, 44409, 16431, 85707, 58253, 103867, 21604, 90401, 84467, 99700, 32052, 18173, 67789, 51929, 83850, 18614)
Average QPS expected = 53849
Timestamp start: 1778618569699
Timestamp end: 1778619769994

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      234.2   108.1    93.8   166.0   180.3   228.6   245.9   254.8   262.9   271.1   283.1   302.2   361.9  1183.2  5267.2   6884.5     6927
read      305.3   271.4    80.4   137.1   152.3   270.3   324.3   353.6   374.4   401.0   440.0   526.5  1093.7  3658.9  8400.8  52767.1    52892
read      463.7   767.0    74.4   141.1   158.6   263.4   334.1   393.9   450.4   550.6   791.2  1486.2  3821.0  8621.7 13534.6  99007.9    98921
read      326.9   361.2    80.4   134.0   149.3   269.8   333.9   370.3   397.1   431.0   483.0   625.6  1492.3  5256.0 10805.2  61197.7    61129
read      294.1   182.5    80.4   139.3   154.9   274.1   322.7   348.9   368.2   391.5   423.3   483.0   811.5  2377.3  6194.6  40598.8    40613
read      311.2   282.6    80.4   135.9   151.3   272.8   332.2   364.8   388.5   417.2   458.3   550.1  1145.2  3394.1  9888.7  53224.5    53226
read      301.1   199.3    80.4   142.3   158.9   279.3   327.9   354.2   372.7   396.3   429.1   490.7   858.4  2697.0  7145.0  38546.6    38560
read      490.0   868.2    74.4   142.4   161.2   262.3   326.1   381.5   437.8   546.4   831.2  1669.1  4437.6  9442.2 16170.8 103452.3   103465
read      525.4   879.3    74.4   148.2   167.7   270.3   337.8   401.4   481.7   690.6  1182.2  1799.4  4143.5  9460.2 17059.7 104820.3   104758
read      433.7   752.2    74.4   137.7   154.2   259.9   329.6   383.9   430.6   499.5   646.8  1226.4  3696.0  9027.6 15239.5  94893.4    94759
read      294.4   182.9    80.4   143.0   159.3   277.8   324.0   348.7   367.1   389.2   419.6   474.4   708.6  2515.4  6992.8  37787.6    37799
read      249.7   131.1   101.3   168.6   184.4   236.1   255.7   267.7   275.2   287.4   301.9   332.7   616.2  1653.4  5794.5   8282.9     8296
read      351.6   454.1    74.4   133.0   148.1   262.8   332.0   372.5   402.6   442.4   507.1   751.8  2196.0  6425.4 10357.4  69370.3    69443
read      259.3   145.6    93.8   161.4   179.7   245.7   269.3   282.7   292.4   305.0   320.7   356.1   671.9  1719.8  6365.8  12531.3    12517
read      296.6   204.9    74.4   138.2   153.5   273.0   324.4   352.2   372.1   397.0   431.3   496.7   821.0  2741.1  7356.5  43627.3    43591
read      281.0   146.0    93.8   154.7   174.3   268.3   299.4   316.7   329.9   344.8   367.8   409.0   695.9  1912.1  4569.1  20388.7    20430
read      444.6   786.6    74.4   139.5   156.3   260.0   326.9   379.4   424.9   490.6   634.1  1297.6  4194.1  8943.2 13768.2  93752.9    93758
read      259.9   170.5    93.8   164.6   183.5   243.9   266.4   278.8   289.0   300.6   318.4   355.1   653.0  2258.3  7426.5  10512.7    10485
read      282.3   206.0    93.8   157.9   178.4   261.3   289.8   306.0   317.5   333.6   355.9   401.9   923.5  2963.0  7354.8  16566.7    16518
read      387.0   638.3    74.4   133.8   149.4   255.1   323.9   370.6   405.4   452.4   535.6   861.1  3299.5  8101.9 11612.7  83193.3    83230
read      236.5   165.7    93.8   162.5   174.4   219.3   236.0   247.2   254.2   265.3   278.7   308.8   750.0  1669.5  7416.5   5478.0     5484
read      314.6   320.0    74.4   133.5   149.3   269.7   329.9   363.2   387.4   416.8   458.7   550.9  1275.0  4649.7  9069.1  55549.0    55611
read      283.4   168.7    86.8   154.0   173.5   268.5   300.1   317.7   331.4   346.5   370.6   417.6   734.1  2088.1  6894.3  20774.7    20774
read      440.2   770.2    74.4   139.1   155.8   258.4   326.6   382.6   431.6   504.1   670.1  1298.5  3850.5  9043.9 16540.8  96663.0    96726
read      293.5   188.0    86.8   145.2   162.0   275.0   316.9   339.4   356.0   374.9   402.6   459.7   845.7  2562.3  7027.0  32339.2    32442
read      376.7   563.5    74.4   134.6   150.2   264.6   335.1   378.9   412.6   457.5   540.3   836.5  2735.5  7849.8 11892.1  72885.9    73039
read      375.4   548.1    68.9   132.8   148.7   262.3   333.1   377.9   412.4   457.8   541.7   859.0  2733.9  7396.1 12854.1  74129.9    74055
read      312.2   280.6    74.4   136.0   152.1   274.1   331.2   362.9   386.0   414.1   454.9   545.3  1130.8  4025.0  7909.3  51139.1    51197
read      330.6   354.4    80.4   132.9   148.8   271.8   335.1   371.2   398.4   432.7   486.4   634.9  1649.5  4558.9  8942.6  59468.3    59442
read      294.2   174.0    80.4   143.8   160.9   278.3   322.7   346.6   364.7   386.0   414.7   466.6   738.7  2360.7  4572.1  35673.0    35654
read      358.7   546.2    74.4   132.8   148.3   257.7   322.5   364.5   396.7   437.7   504.5   716.7  2617.7  7665.4 12901.2  78744.2    78747
read      308.0   224.5    80.4   141.7   158.2   279.6   331.0   359.6   380.1   404.7   442.6   521.6   998.5  2883.5  7571.2  42301.0    42212
read      320.8   283.4    80.4   138.2   153.9   277.3   337.7   371.3   396.3   427.2   471.1   586.4  1258.0  3887.6  7917.6  52455.9    52488
read      311.7   300.6    80.4   144.4   161.3   280.5   328.9   355.4   374.0   398.1   431.6   501.7  1032.5  4480.1 10089.0  37023.4    36950
read      279.9   131.9    93.8   161.7   183.4   267.2   295.6   312.2   323.6   339.6   361.9   402.8   673.2  1686.2  3866.2  16724.4    16762
read      411.7   725.5    80.4   136.8   152.7   263.9   333.4   381.0   418.6   466.4   556.5   916.4  3723.4  9014.5 13673.7  79501.1    79473
read      342.1   377.4    80.4   136.7   152.2   275.1   342.3   381.4   410.2   447.8   505.3   678.7  1710.3  5275.5  9571.4  61435.1    61431
read      451.2   811.9    74.4   140.5   157.6   267.5   337.6   391.8   437.0   502.7   641.2  1258.2  4357.4  9343.7 14303.9  87065.9    87172
read      639.8  1102.5    74.4   167.4   191.3   295.3   353.8   405.0   473.4   893.1  1535.1  2853.4  5717.8 11788.5 17408.8 108182.0   108181
read      456.8   811.2    74.4   139.4   156.4   265.6   333.6   385.3   429.5   495.3   655.5  1427.1  4119.9  9328.4 13100.2  80601.1    80515
read      301.2   174.9    80.4   144.0   161.2   281.4   329.3   355.3   373.6   396.9   429.3   494.8   828.5  2247.6  4433.4  37112.6    37149
read      270.3   110.2   101.3   167.5   188.9   260.3   285.2   298.8   310.3   322.1   341.5   376.7   595.3  1394.4  3431.8  13485.3    13444
read      398.5   607.3    74.4   137.9   153.4   266.2   337.4   383.9   419.8   466.1   557.3   959.0  3252.6  7740.6 10692.1  72034.9    72057
read      387.4   589.6    80.4   138.0   153.3   267.6   337.9   382.3   416.3   460.7   541.6   870.9  2984.1  7756.0 13483.9  70103.8    70041
