Random waveform, supplied seed
Total number of intervals = 80 (6927, 52892, 98921, 61129, 40613, 53226, 38560, 103465, 104758, 94759, 37799, 8296, 69443, 12517, 43591, 20430, 93758, 10485, 16518, 83230, 5484, 55611, 20774, 96726, 32442, 73039, 74055, 51197, 59442, 35654, 78747, 42212, 52488, 36950, 16762, 79473, 61431, 87172, 108181, 80515, 37149, 13444, 72057, 70041, 90162, 52082, 24258, 72013, 58012, 45398, 50177, 34504, 66010, 73937, 55020, 53235, 97743, 5419, 14764, 7451, 48208, 16149, 78989, 18886, 75954, 44409, 16431, 85707, 58253, 103867, 21604, 90401, 84467, 99700, 32052, 18173, 67789, 51929, 83850, 18614)
Average QPS expected = 53849
Timestamp start: 1778616523759
Timestamp end: 1778617724059

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      416.7   683.1    74.4   137.6   154.1   269.0   343.2   398.6   443.4   506.0   630.0  1038.7  3205.4  8770.6 15794.0  87271.1    87172
read      644.3  1092.9    74.4   166.8   189.7   296.2   362.3   421.7   497.5   866.2  1564.7  2974.4  5642.2 11466.9 17468.4 108081.7   108181
read      457.4   814.0    80.4   137.8   155.0   268.3   338.3   390.8   436.0   508.4   699.8  1424.1  3678.5  9416.1 17577.8  80479.1    80515
read      298.6   229.0    80.4   142.6   159.3   275.7   321.3   346.1   364.6   386.2   415.5   470.5   860.2  3237.3  7770.9  37139.9    37149
read      265.0   111.9    93.8   163.7   184.2   255.1   280.3   294.4   305.7   318.1   337.8   372.1   553.7  1519.6  3433.1  13482.0    13444
read      366.3   493.1    74.4   134.0   149.7   267.6   337.2   380.3   413.0   455.1   524.5   768.4  2604.8  6813.9 11089.8  72042.5    72057
read      357.2   479.9    74.4   133.5   149.0   267.4   335.8   377.1   408.0   447.5   507.8   722.4  2356.7  6447.1 11410.3  70006.5    70041
read      455.4   768.3    80.4   141.6   159.4   274.7   349.1   406.1   456.6   535.0   700.8  1339.3  3637.6  9235.9 16268.1  90130.3    90162
read      349.0   420.2    80.4   139.6   155.9   283.0   346.3   383.2   410.4   447.0   505.9   666.8  1786.5  6553.9 10928.2  52044.1    52082
read      288.3   135.7    86.8   153.8   172.5   277.0   312.4   331.9   345.5   363.9   388.3   433.6   681.7  1735.6  3855.5  24208.7    24258
read      382.2   614.9    74.4   135.9   151.4   268.0   337.8   381.1   414.0   456.6   531.2   807.9  2850.2  8285.5 15322.8  72072.6    72013
read      318.6   278.3    74.4   136.0   151.0   272.1   335.1   370.2   395.7   427.2   471.0   594.8  1337.5  3506.6  7711.9  58017.7    58012
read      314.1   257.3    80.4   140.9   157.0   282.2   337.8   368.2   390.5   417.5   456.0   544.2  1039.8  3111.1  9170.3  45514.9    45398
read      319.8   282.8    80.4   140.9   156.8   281.5   339.8   371.5   394.6   423.0   462.5   557.5  1196.4  3884.4  8126.1  50165.5    50177
read      306.4   232.8    86.8   147.1   164.2   283.4   328.6   353.0   370.4   392.5   423.0   483.4   875.9  3477.8  7552.5  34473.1    34504
read      348.8   434.2    80.4   137.2   152.5   272.1   339.9   379.6   409.1   447.1   504.2   679.5  1973.0  6517.0 11017.8  66009.3    66010
read      368.0   588.0    74.4   134.0   149.5   265.6   335.2   377.8   409.7   451.1   514.7   738.3  2595.6  8079.9 16169.2  74070.0    73937
read      323.9   373.8    74.4   136.9   151.9   271.5   331.8   365.4   389.8   419.5   461.4   570.0  1494.9  5730.5 11105.3  55116.3    55020
read      341.6   420.5    80.4   139.5   155.3   280.3   342.2   377.0   402.4   434.9   483.7   612.0  1717.5  6900.1 10735.5  53293.1    53235
read      395.4   488.1    74.4   142.7   159.9   271.9   347.5   409.5   464.3   545.2   678.6   988.0  2513.8  6235.8 10514.6  97775.9    97743
read      251.3   164.4    93.8   176.9   191.0   240.1   258.7   269.4   276.5   287.4   299.5   325.7   447.8  1560.6  7978.2   5423.4     5419
read      269.9   109.3    86.8   165.9   187.5   262.9   288.0   301.9   312.6   324.6   342.5   373.8   505.9  1342.1  3834.4  14718.0    14764
read      253.0    92.8    93.8   176.2   191.8   245.5   265.7   276.2   285.8   295.5   311.4   337.9   444.3  1164.7  3718.1   7457.2     7451
read      302.2   185.2    80.4   140.6   156.4   278.6   334.4   364.4   385.8   410.8   445.3   510.1   842.4  2265.4  5171.5  48184.0    48208
