#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      233.1   107.8    74.4   128.2   141.5   211.7   251.4   277.5   298.1   323.7   355.0   398.3   486.5   818.4  3455.0  29966.9    30000  1778700606745  1778700616880
read      226.0    99.8    74.4   126.5   139.8   207.1   241.9   266.0   285.2   308.8   339.0   382.7   471.1   699.6  3120.5  29932.9    30005  1778700618390  1778700628507
read      229.3   102.6    74.4   128.2   141.4   210.2   245.9   269.8   289.6   313.9   344.2   389.6   477.7   732.3  3159.1  30052.1    30010  1778700630018  1778700640118
read      231.1    95.0    74.4   127.0   140.1   210.9   249.0   274.7   295.6   320.8   353.9   399.9   489.7   659.5  2278.1  29993.5    30015  1778700641629  1778700651727
read      225.5   102.1    80.4   126.9   139.9   207.4   240.1   262.0   280.0   303.7   336.3   384.7   476.8   854.9  3215.2  29992.4    30020  1778700653238  1778700663340
read      264.3   276.4    74.4   128.3   140.8   214.2   254.1   280.7   302.2   330.3   371.8   466.4  1222.6  3697.3  6460.9  30046.5    30025  1778700664849  1778700674948
read      295.7   452.3    80.4   124.0   135.5   206.1   246.8   274.0   297.4   329.8   386.2   564.5  3119.4  5119.1  6430.5  30010.6    30030  1778700676457  1778700686555
read      256.8   288.6    80.4   123.6   135.4   205.2   243.0   268.4   289.5   315.8   355.1   447.7  1275.5  3788.4  6360.8  30164.9    30035  1778700688065  1778700698164
read      240.4   275.1    80.4   120.0   131.0   195.1   228.9   249.9   266.3   287.0   316.9   391.2  1260.7  3737.2  6351.7  30040.0    30040  1778700699674  1778700709772
read      237.4   259.2    80.4   120.8   131.6   194.4   227.5   247.8   263.9   284.2   314.0   387.9  1180.7  3473.5  6281.3  30045.1    30045  1778700711283  1778700721382
read      247.3   263.6    80.4   121.4   133.1   202.2   238.2   262.3   281.0   304.6   338.7   414.0  1224.0  3509.0  6285.2  29990.5    30050  1778700722893  1778700732991
read      250.9   276.7    80.4   122.3   134.3   203.8   239.9   263.7   282.6   307.1   342.3   424.3  1260.6  3580.7  6351.9  30162.6    30055  1778700734503  1778700744601
read      237.3   266.6    80.4   120.7   131.5   193.3   226.6   246.8   263.3   284.7   316.2   389.4  1173.1  3472.7  6376.3  30003.2    30060  1778700746110  1778700756210
read      247.7   275.6    80.4   121.5   133.6   202.6   238.1   260.5   276.6   297.6   330.1   408.2  1230.1  3579.3  6374.1  30008.9    30065  1778700757720  1778700767819
read      251.3   288.9    80.4   122.4   133.9   202.1   237.3   260.8   279.1   303.1   338.6   420.8  1360.4  3800.4  6361.8  30031.8    30070  1778700769328  1778700779427
read      278.3   329.6    80.4   128.4   140.5   214.4   256.1   284.6   307.3   337.5   387.3   527.1  1596.4  4043.9  6442.9  30107.6    30075  1778700780935  1778700791043
read      290.8   411.4    80.4   128.5   140.3   211.8   252.1   278.2   299.6   330.3   386.2   545.7  2652.6  5869.6  6452.2  30101.9    30080  1778700792552  1778700802653
