Random waveform, supplied seed
Total number of intervals = 100 (6927, 52892, 98921, 61129, 40613, 53226, 38560, 103465, 104758, 94759, 37799, 8296, 69443, 12517, 43591, 20430, 93758, 10485, 16518, 83230, 5484, 55611, 20774, 96726, 32442, 73039, 74055, 51197, 59442, 35654, 78747, 42212, 52488, 36950, 16762, 79473, 61431, 87172, 108181, 80515, 37149, 13444, 72057, 70041, 90162, 52082, 24258, 72013, 58012, 45398, 50177, 34504, 66010, 73937, 55020, 53235, 97743, 5419, 14764, 7451, 48208, 16149, 78989, 18886, 75954, 44409, 16431, 85707, 58253, 103867, 21604, 90401, 84467, 99700, 32052, 18173, 67789, 51929, 83850, 18614, 29315, 108090, 27024, 49907, 9150, 34328, 51881, 14569, 81517, 78694, 93409, 39093, 18729, 70818, 21942, 91810, 39588, 40957, 62645, 15539)
Average QPS expected = 52869
Timestamp start: 1778425728355
Timestamp end: 1778427228665

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      442.8   594.1    74.4   133.4   152.9   309.8   419.6   490.1   544.2   615.9   726.0  1053.1  2752.4  8074.8 12994.6  61288.1    61431
read      554.1   991.6    74.4   137.7   155.4   268.1   364.1   466.4   580.5   756.9  1080.2  1894.6  5539.9 11192.2 15865.5  87105.9    87172
read      564.6  1042.7    74.4   150.0   168.8   263.5   321.3   374.5   444.7   679.7  1280.8  2332.1  5786.9 11097.9 17676.7 108240.5   108181
read      495.5   853.8    74.4   130.9   148.5   268.5   361.4   440.0   516.4   637.2   878.2  1596.7  4136.3  9927.6 16106.0  80655.6    80515
read      304.9   256.0    80.4   131.6   147.5   271.6   325.2   355.2   376.8   403.4   441.7   519.2  1217.1  3330.9  7899.0  37130.8    37149
read      265.1   235.4    86.8   143.3   161.7   240.7   271.1   288.6   301.2   317.1   340.1   383.3   881.1  3377.8  7939.5  13494.5    13444
read      348.0   596.5    74.4   123.7   138.3   251.1   316.4   357.5   388.9   427.3   484.4   658.8  2403.2  8030.3 16090.0  72198.4    72057
read      336.0   477.9    80.4   126.5   141.2   253.6   317.9   358.5   388.9   425.6   477.6   616.8  2236.7  7356.8 11639.8  70007.5    70041
read      409.9   798.9    74.4   129.5   145.2   254.1   318.5   365.7   404.0   457.4   547.9   939.9  3765.1 10948.0 16546.2  90102.9    90162
read      298.8   322.8    74.4   124.5   139.0   259.1   318.2   350.9   374.2   401.9   438.2   509.3  1092.7  4681.6 10334.6  52139.1    52082
