#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      275.8   124.4   101.3   161.2   175.9   256.7   297.6   321.9   340.9   363.5   393.4   441.5   566.2  1299.9  4166.5  29921.1    30000  1778794549910  1778794560080
read      270.5   103.2    93.8   159.6   173.9   252.7   293.8   318.0   337.0   359.6   388.5   433.1   536.4   859.8  3039.0  30035.1    30005  1778794561595  1778794571715
read      274.3   110.3   101.3   159.8   174.7   255.7   297.6   322.7   342.0   365.5   395.7   442.0   544.4   965.3  3303.7  30063.8    30010  1778794573228  1778794583329
read      279.8   120.7    93.8   164.2   179.7   261.7   302.5   326.5   344.2   366.9   396.5   443.9   559.4  1217.5  4082.2  29836.7    30015  1778794584842  1778794594941
read      271.9   109.4   101.3   161.7   176.6   255.1   294.5   317.5   335.4   356.9   385.2   429.9   531.6   959.5  3355.0  30099.4    30020  1778794596456  1778794606556
read      272.9   123.0    93.8   159.8   175.0   255.2   295.3   319.6   338.5   360.8   389.6   434.2   532.6  1134.5  4116.1  30042.9    30025  1778794608070  1778794618171
read      275.4   118.9   101.3   162.0   176.5   255.9   297.2   322.3   341.5   364.7   394.7   442.1   550.9  1059.7  4118.3  29996.4    30030  1778794619687  1778794629786
read      369.9   472.0   101.3   165.8   182.1   277.0   328.2   361.4   389.4   429.4   499.7   696.6  3196.4  6045.5  8781.9  30064.8    30035  1778794631301  1778794641401
read      312.1   329.8   101.3   158.4   171.1   246.2   290.3   319.0   343.0   376.0   433.5   594.0  1636.6  4125.3  7209.8  30093.9    30040  1778794642915  1778794653029
read      292.8   260.9   101.3   155.9   168.6   243.4   285.5   311.6   332.1   358.6   398.2   497.2  1267.9  3561.8  6302.0  29942.0    30045  1778794654546  1778794664646
read      291.9   270.0   101.3   155.5   167.9   240.8   281.4   307.4   327.5   354.1   394.5   498.3  1350.5  3579.7  6293.9  30010.8    30050  1778794666160  1778794676260
read      322.3   314.4   101.3   158.6   171.5   251.4   299.0   332.5   360.4   400.5   478.6   694.0  1609.0  3717.6  6407.8  30015.3    30055  1778794677777  1778794687878
read      312.3   280.7   101.3   158.5   170.9   247.4   293.8   326.0   354.1   395.7   471.4   657.2  1347.8  3675.6  6308.2  30054.3    30060  1778794689394  1778794699493
read      324.9   302.1   101.3   161.2   174.9   260.2   308.1   340.7   368.7   408.0   475.8   647.3  1568.7  3794.4  6443.6  29994.2    30065  1778794701010  1778794711109
read      312.9   278.1   101.3   160.1   173.8   256.8   302.0   331.5   355.4   388.1   440.8   582.8  1438.4  3630.9  6257.6  30086.2    30070  1778794712628  1778794722729
read      291.3   261.9   101.3   155.8   168.4   242.9   283.2   308.2   327.8   354.6   396.2   498.7  1257.8  3636.8  6363.2  30045.8    30075  1778794724243  1778794734343
read      301.6   295.4   101.3   156.0   168.6   243.6   285.1   311.1   332.3   361.3   406.0   546.4  1508.4  3796.4  6347.8  30175.9    30080  1778794735857  1778794745961
read      357.0   446.5   101.3   166.1   181.2   270.5   317.5   349.2   376.3   413.0   471.7   640.1  3029.6  6048.9  6769.2  30040.1    30085  1778794747476  1778794757576
read      359.4   443.4   101.3   166.0   181.5   272.8   321.4   354.6   382.1   421.4   487.1   670.8  3018.0  6021.3  7837.0  30026.4    30090  1778794759091  1778794769193
read      333.3   357.0   101.3   166.0   181.3   269.0   313.7   343.0   367.7   399.9   453.5   581.1  1807.6  4583.8  6426.4  30173.5    30095  1778794770708  1778794780805
read      345.6   414.0   101.3   164.4   179.3   267.3   314.0   344.4   370.8   406.3   465.2   620.9  2786.4  5512.1  6813.3  30186.5    30100  1778794782320  1778794792422
read      352.9   433.3   101.3   165.7   180.9   271.3   319.4   351.8   378.3   415.5   472.2   620.5  3005.4  6007.9  6617.8  30090.7    30105  1778794793937  1778794804035
read      373.6   459.0   101.3   168.3   184.7   281.6   335.5   372.6   404.6   452.7   528.6   723.6  2891.8  6123.9  9041.5  30142.1    30110  1778794805549  1778794815648
read      365.4   468.5   101.3   166.0   181.0   270.7   320.7   356.6   386.8   431.0   507.0   734.0  2962.6  6101.9 10115.7  29988.2    30115  1778794817163  1778794827261
read      336.2   363.9   101.3   170.5   187.5   279.4   325.8   355.3   378.3   408.9   454.2   534.9  2136.4  4700.0  6426.9  30163.4    30120  1778794828776  1778794838873
read      285.5   133.1    93.8   164.0   179.2   264.3   306.5   332.3   352.2   376.7   411.4   467.9   615.8  1251.7  4489.2  30172.8    30125  1778794840390  1778794850490
read      285.5   121.1   101.3   165.6   181.1   265.9   307.3   332.7   352.1   376.3   410.6   465.7   590.6  1039.4  4127.6  30220.7    30130  1778794852003  1778794862102
read      285.8   124.4   101.3   165.9   181.6   266.7   308.3   333.4   352.6   376.7   409.6   463.0   584.3  1012.4  4219.8  30176.7    30135  1778794863615  1778794873715
read      280.8   128.1    93.8   161.6   176.8   259.6   300.3   325.2   344.3   369.3   402.9   460.8   609.7  1602.0  3857.1  30111.1    30140  1778794875229  1778794885326
read      289.0   149.2   101.3   162.7   178.3   265.0   307.9   334.1   354.7   380.5   416.5   474.7   659.9  1940.4  5515.7  30057.6    30145  1778794886839  1778794896937
read      293.7   267.1   101.3   157.8   170.0   244.2   284.6   309.5   329.4   356.4   397.9   505.9  1220.5  3623.5  6317.2  30142.0    30150  1778794898451  1778794908554
read      294.7   280.3   101.3   156.3   168.4   242.2   283.6   309.7   330.4   358.6   402.1   511.4  1314.3  3777.1  6349.7  30087.4    30155  1778794910066  1778794920168
read      298.3   257.4   101.3   158.6   171.8   252.0   294.2   319.4   340.6   368.1   410.6   511.0  1200.3  3457.5  6295.5  30182.4    30160  1778794921682  1778794931786
read      346.4   377.9   109.4   160.0   173.5   258.1   307.4   340.5   370.0   418.3   510.7   770.1  2332.5  4297.8  6233.6  30246.7    30165  1778794933303  1778794943404
read      382.1   451.9   101.3   159.7   173.6   263.6   318.3   360.6   401.7   477.7   628.0   934.5  2778.9  4729.1  6940.0  30102.5    30170  1778794944918  1778794955018
read      407.0   510.7   101.3   161.4   175.3   266.9   323.6   369.0   416.4   503.8   683.9  1063.5  3100.2  4860.4  7423.0  30232.0    30175  1778794956533  1778794966635
read      354.8   432.3   101.3   156.9   170.4   251.9   299.1   332.2   361.9   410.4   529.9   868.5  2567.1  4915.0  7833.6  30108.2    30180  1778794968151  1778794978251
read      297.5   267.2   101.3   159.6   172.2   248.6   289.2   314.1   334.2   361.2   402.3   512.1  1247.3  3575.4  6335.8  30069.5    30185  1778794979766  1778794989868
read      312.6   312.5   101.3   161.9   175.9   259.2   301.6   327.6   347.4   374.9   418.5   513.9  1697.6  4069.6  6346.4  30163.4    30190  1778794991383  1778795001481
read      292.7   219.6   101.3   161.5   174.8   254.1   295.8   321.1   342.1   369.3   412.5   511.0   957.0  2817.3  6755.1  30211.2    30195  1778795002995  1778795013096
read      268.2   107.7   101.3   161.9   175.7   252.2   289.7   311.5   327.5   346.7   374.0   422.8   539.2   948.7  3748.3  30310.6    30200  1778795014610  1778795024712
read      269.9   114.9   101.3   162.9   177.2   254.1   291.6   313.3   329.8   350.0   378.7   426.6   530.3   829.6  3570.9  30138.4    30205  1778795026227  1778795036324
read      281.2   115.0    93.8   165.0   181.0   264.2   303.6   326.7   344.3   367.3   398.2   449.9   568.7  1029.0  4031.7  30190.2    30210  1778795037837  1778795047936
read      273.9   119.0   101.3   161.2   175.8   256.5   296.1   319.1   337.0   358.8   388.5   436.6   550.0  1083.9  4061.3  30307.1    30215  1778795049450  1778795059550
read      281.9   123.8   101.3   165.6   180.5   262.4   302.1   325.8   344.1   367.6   399.9   456.7   593.0  1415.9  4011.4  30197.0    30220  1778795061064  1778795071164
read      278.5   113.4   101.3   165.7   180.2   261.0   300.5   323.5   341.7   364.5   395.0   445.0   560.0   964.5  3395.4  30212.8    30225  1778795072679  1778795082779
read      276.1   124.9   101.3   161.3   175.6   256.5   296.8   320.3   339.1   362.7   394.5   448.2   575.8  1377.0  4267.4  30179.9    30230  1778795084293  1778795094418
read      285.6   152.5    93.8   165.1   180.3   262.7   303.2   327.2   345.7   370.4   404.4   465.2   625.7  2322.9  5119.4  30201.3    30235  1778795095934  1778795106140
read      283.2   155.4   101.3   165.5   180.6   261.9   301.4   324.7   343.2   367.0   399.2   456.4   595.7  2062.3  5525.0  30280.6    30240  1778795107659  1778795117881
read      301.1   172.5   101.3   168.9   184.9   271.4   314.2   340.6   361.8   389.0   429.0   504.3   796.1  2360.2  5324.6  30187.2    30245  1778795119395  1778795129493
read      289.2   131.5   101.3   167.3   183.6   268.5   309.2   333.3   351.5   375.3   409.7   468.0   629.5  1689.0  4165.1  30269.2    30250  1778795131008  1778795141106
read      277.8   119.3    93.8   161.5   176.9   260.1   300.5   323.7   342.2   365.6   397.1   446.2   557.3  1171.8  4011.3  30199.1    30255  1778795142620  1778795152724
read      279.1   112.5    93.8   163.5   179.4   262.1   300.6   323.4   341.6   364.8   396.2   449.8   573.1   992.0  3434.0  30317.2    30260  1778795154238  1778795164343
read      279.8   121.6   101.3   162.4   177.5   260.0   300.2   324.0   343.0   367.4   400.4   456.5   590.0  1351.7  3757.7  30307.8    30265  1778795165857  1778795175956
read      283.2   121.9    93.8   164.7   180.8   263.1   302.0   325.6   344.1   368.7   402.1   462.3   625.6  1279.4  3384.9  30267.8    30270  1778795177470  1778795187571
read      277.2   117.7   101.3   164.0   179.6   260.1   297.7   320.1   338.3   360.6   390.8   439.3   555.6  1213.1  4040.8  30226.1    30275  1778795189085  1778795199188
read      289.0   179.6   101.3   162.9   177.6   261.1   302.0   326.7   346.0   371.9   407.6   472.2   768.7  2649.0  6281.9  30349.8    30280  1778795200700  1778795210800
read      302.9   287.5   109.4   159.9   172.3   248.9   288.9   313.7   334.0   361.6   404.3   530.2  1437.9  3805.3  6310.2  30285.7    30285  1778795212313  1778795222416
read      308.0   299.3   101.3   160.7   173.8   253.0   293.9   318.6   339.6   367.5   414.0   539.5  1609.5  3887.1  6396.5  30376.3    30290  1778795223929  1778795234029
read      314.2   303.3   101.3   159.7   173.2   256.1   299.9   328.1   351.0   383.0   437.4   589.0  1446.7  3977.1  6410.3  30276.3    30295  1778795235541  1778795245643
read      291.0   282.5   101.3   156.8   168.8   240.8   279.7   303.5   321.1   346.3   386.2   483.5  1295.3  3885.2  6377.7  30289.3    30300  1778795247157  1778795257257
read      289.5   270.2   101.3   156.7   168.8   240.6   279.5   303.3   321.0   345.7   386.3   488.0  1255.3  3747.7  6342.4  30363.1    30305  1778795258771  1778795268872
read      308.2   284.3   101.3   161.6   175.1   255.8   297.7   323.5   344.4   372.9   420.3   536.7  1398.1  3713.0  6431.9  30395.6    30310  1778795270385  1778795280488
read      309.6   293.5   101.3   160.3   173.1   252.2   295.0   321.9   344.8   375.2   427.8   563.4  1490.6  3886.1  6345.3  30259.3    30315  1778795282002  1778795292110
read      293.8   298.3   101.3   155.5   167.2   237.8   277.0   301.6   320.4   347.7   393.1   519.6  1367.4  4040.9  6355.9  30350.3    30320  1778795293623  1778795303721
read      291.7   284.2   101.3   157.3   169.2   240.7   279.4   303.4   321.2   346.6   387.2   487.3  1338.9  3848.7  6389.6  30393.7    30325  1778795305234  1778795315332
read      305.4   312.6   101.3   159.8   172.6   250.5   290.8   315.2   335.2   362.0   403.1   514.6  1558.7  4068.2  6407.5  30341.1    30330  1778795316845  1778795326943
read      300.3   279.9   101.3   160.2   173.1   250.5   290.4   314.5   334.1   360.7   401.7   507.6  1329.3  3738.2  6392.3  30349.0    30335  1778795328458  1778795338562
