Random waveform, supplied seed
Total number of intervals = 80 (6927, 52892, 98921, 61129, 40613, 53226, 38560, 103465, 104758, 94759, 37799, 8296, 69443, 12517, 43591, 20430, 93758, 10485, 16518, 83230, 5484, 55611, 20774, 96726, 32442, 73039, 74055, 51197, 59442, 35654, 78747, 42212, 52488, 36950, 16762, 79473, 61431, 87172, 108181, 80515, 37149, 13444, 72057, 70041, 90162, 52082, 24258, 72013, 58012, 45398, 50177, 34504, 66010, 73937, 55020, 53235, 97743, 5419, 14764, 7451, 48208, 16149, 78989, 18886, 75954, 44409, 16431, 85707, 58253, 103867, 21604, 90401, 84467, 99700, 32052, 18173, 67789, 51929, 83850, 18614)
Average QPS expected = 53849
Timestamp start: 1778441801238
Timestamp end: 1778443001530

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      214.1    83.1    93.8   143.6   154.5   206.5   229.9   242.8   252.0   263.7   277.5   300.8   356.2   632.2  3968.7   6909.5     6927
read      294.9   256.6    74.4   125.6   140.1   264.4   324.1   356.3   378.7   404.7   440.4   503.1   900.4  3818.6  7831.1  52823.7    52892
read      441.9   751.8    74.4   133.9   151.4   264.2   331.7   386.4   436.4   513.8   681.8  1355.3  3503.5  9319.8 14210.6  98896.3    98921
read      300.4   307.8    74.4   123.1   137.5   258.5   322.1   357.4   382.4   411.7   450.2   518.6  1215.3  4400.3  9048.5  61053.5    61129
read      279.9   165.0    80.4   127.0   141.2   266.1   317.8   344.3   363.5   385.7   414.4   463.5   682.0  2198.3  4440.5  40527.2    40613
read      297.6   295.6    74.4   124.0   138.6   264.1   325.2   358.0   381.2   408.0   444.5   507.9   983.4  3929.6  9856.2  53188.9    53226
read      284.0   232.0    74.4   126.0   140.8   264.9   315.6   341.7   360.8   382.9   411.3   462.3   745.6  3205.3  8105.5  38563.0    38560
read      446.5   767.3    74.4   136.9   154.6   264.8   330.9   388.1   444.0   530.1   718.1  1378.4  3449.9  9123.0 17722.0 103435.7   103465
read      440.1   734.2    74.4   136.3   154.2   265.8   333.9   393.8   452.0   539.6   716.0  1313.9  3410.8  9004.8 16004.5 104688.5   104758
read      408.3   673.2    74.4   131.1   147.9   262.9   331.3   382.2   425.2   483.0   585.6  1024.2  3391.0  8308.0 13118.2  94659.0    94759
read      279.5   171.3    74.4   125.4   140.3   264.4   314.6   340.7   359.7   381.5   410.4   461.9   724.9  2197.8  5343.3  37792.2    37799
read      239.9   155.7    86.8   145.4   157.2   222.8   251.2   267.5   279.3   294.4   316.0   356.0   599.6  1959.2  7268.7   8291.9     8296
read      376.0   603.6    74.4   124.6   140.4   265.4   334.1   376.6   409.1   450.7   514.0   770.2  2950.6  7902.6 12611.2  69308.1    69443
read      245.0   208.5    80.4   139.1   152.5   227.5   258.3   274.5   287.2   301.6   321.0   360.6   609.7  2513.0  8086.4  12559.3    12517
read      324.6   377.0    74.4   129.0   145.2   275.9   334.2   366.1   389.4   417.9   458.8   545.8  1611.4  5576.1  9392.7  43630.5    43591
read      262.0   152.5    80.4   135.1   151.2   250.9   287.4   307.1   320.6   338.7   362.7   402.3   588.1  1900.5  5525.9  20393.7    20430
read      357.8   651.6    74.4   131.6   147.8   253.4   309.3   341.2   365.7   396.7   446.1   629.8  3030.4  8386.1 16002.6  93759.9    93758
read      246.2   140.7    86.8   144.1   157.5   230.5   261.1   277.4   290.2   305.9   327.7   370.2   622.8  1636.4  5560.4  10540.3    10485
read      279.6   186.3    86.8   143.5   160.9   258.9   296.2   317.6   334.4   354.9   384.1   436.8   830.9  2435.7  7242.3  16563.3    16518
read      442.5   850.6    74.4   132.9   151.0   274.3   344.5   393.5   433.1   488.4   590.8  1159.7  3964.4 11815.9 18962.1  83165.2    83230
read      238.9   168.2    93.8   147.9   158.9   220.2   247.6   263.4   274.4   289.7   310.1   348.8   636.3  1975.6  7520.6   5501.7     5484
read      350.7   485.2    80.4   129.1   145.5   276.4   341.6   379.0   406.3   440.6   491.8   624.8  2203.3  7407.4 12567.8  55457.2    55611
read      286.1   247.6    80.4   140.6   158.0   263.6   302.2   323.3   339.7   359.9   387.5   436.3   865.4  4003.8  7787.2  20843.0    20774
read      345.0   561.0    74.4   132.5   149.1   256.5   313.8   345.5   369.8   400.2   449.7   610.3  2721.9  7743.7 15923.4  96822.0    96726
read      329.1   385.0    80.4   134.9   152.5   280.6   331.3   360.1   381.4   407.6   447.6   541.5  1651.8  6266.1  9133.6  32457.4    32442
read      393.2   704.0    74.4   128.3   144.4   270.0   339.3   383.5   417.7   461.3   530.6   785.5  3290.6  9231.9 16532.7  73030.5    73039
read      386.8   644.8    74.4   128.8   145.1   268.0   337.6   382.5   417.1   461.5   532.3   796.4  3116.6  8585.4 14651.8  74141.8    74055
read      322.2   334.3    74.4   127.3   142.8   273.1   337.1   372.6   398.8   430.7   476.5   580.9  1425.0  4665.7  8610.0  51261.9    51197
read      367.0   574.2    74.4   126.8   142.3   273.4   342.2   382.5   412.2   449.8   506.1   688.3  2659.5  8148.7 13780.2  59320.4    59442
read      340.7   467.3    80.4   132.9   150.0   281.3   335.7   365.6   387.8   415.1   455.8   554.0  2003.4  7574.6 12930.2  35657.7    35654
read      396.8   685.2    74.4   127.1   143.0   264.0   333.3   378.8   415.0   461.4   538.1   874.2  3416.9  8832.1 15062.3  78759.1    78747
read      306.2   358.5    74.4   125.9   141.2   267.7   321.4   350.0   370.9   396.5   430.7   498.6  1297.8  5172.6 10963.2  42187.0    42212
read      348.8   559.5    80.4   126.7   142.6   273.7   336.0   371.3   397.7   430.4   477.9   593.4  2306.7  7852.3 15983.8  52429.6    52488
read      295.2   280.2    74.4   128.1   143.5   267.5   316.3   342.3   361.8   385.2   417.5   478.4  1046.5  3924.8  8944.5  36976.3    36950
read      246.3   104.6    80.4   136.9   151.8   237.9   269.4   286.8   298.8   314.6   335.9   371.9   523.0  1372.9  2876.9  16757.8    16762
read      417.6   818.8    74.4   127.2   143.3   267.2   336.9   383.7   421.7   471.3   562.1   963.0  3674.7 10374.9 22049.7  79395.3    79473
read      314.2   355.6    74.4   121.5   135.8   260.7   324.5   361.2   388.0   420.4   464.9   566.3  1522.4  5006.7  9449.6  61455.9    61431
read      417.3   785.8    74.4   129.5   145.8   264.3   331.6   379.4   419.1   471.2   564.5   958.9  3771.8 10182.6 16548.1  87129.7    87172
