Random waveform, supplied seed
Total number of intervals = 94 (6927, 52892, 98921, 61129, 40613, 53226, 38560, 103465, 104758, 94759, 37799, 8296, 69443, 12517, 43591, 20430, 93758, 10485, 16518, 83230, 5484, 55611, 20774, 96726, 32442, 73039, 74055, 51197, 59442, 35654, 78747, 42212, 52488, 36950, 16762, 79473, 61431, 87172, 108181, 80515, 37149, 13444, 72057, 70041, 90162, 52082, 24258, 72013, 58012, 45398, 50177, 34504, 66010, 73937, 55020, 53235, 97743, 5419, 14764, 7451, 48208, 16149, 78989, 18886, 75954, 44409, 16431, 85707, 58253, 103867, 21604, 90401, 84467, 99700, 32052, 18173, 67789, 51929, 83850, 18614, 29315, 108090, 27024, 49907, 9150, 34328, 51881, 14569, 81517, 78694, 93409, 39093, 18729, 70818)
Average QPS expected = 53345
Timestamp start: 1778436261987
Timestamp end: 1778437662288

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      204.7    73.2    86.8   141.1   151.3   196.7   217.9   230.0   238.3   249.6   264.3   287.3   342.5   627.8  2844.3   6893.0     6927
read      280.5   187.7    80.4   127.8   141.0   260.2   317.6   347.6   369.7   395.3   427.9   482.0   690.5  2233.0  7352.0  52854.3    52892
read      388.6   607.8    80.4   133.1   149.3   257.3   324.8   376.5   420.2   476.6   579.4   983.5  2887.6  7931.3 14255.0  98808.3    98921
read      278.6   183.6    80.4   123.5   137.0   253.9   315.3   348.3   372.0   399.0   433.0   490.8   733.0  2002.0  6312.1  61024.7    61129
read      272.4   297.6    80.4   127.1   141.0   262.5   312.9   338.8   357.4   378.3   405.0   452.0   594.0  1386.0  3155.8  40552.7    40613
read      438.1   957.8    74.4   127.3   145.1   289.0   370.6   421.5   460.4   509.4   584.4   860.9  3904.0 11756.7 18463.0  53277.1    53226
read      468.1  1139.7    74.4   129.4   148.2   298.3   373.9   417.0   448.1   486.1   543.9   921.6  4676.5 15344.1 29989.3  38648.2    38560
read      886.3  1785.4    80.4   156.3   176.9   253.0   298.7   344.0   427.2  1450.9  2844.4  4682.3  8632.6 14913.1 21900.8 103166.4   103465
read      840.1  1751.4    74.4   155.1   171.9   234.6   275.6   318.0   385.7  1294.4  2690.5  4361.4  8809.1 15062.0 21543.2 104841.8   104758
read      959.3  1981.3    80.4   155.4   175.1   246.3   290.2   336.3   455.6  1581.6  2885.1  5152.4  9615.3 15631.7 21744.1  94789.3    94759
read      893.9  1789.9    80.4   139.7   157.0   249.2   323.4   459.6   795.6  1440.4  2584.6  4430.0  8583.5 15576.4 20564.0  37834.4    37799
read      701.0  1589.8    80.4   131.4   145.4   236.5   302.2   377.3   491.3   739.8  1313.0  2988.5  8020.5 15138.4 18750.3   8323.4     8296
read      860.8  1791.0    74.4   141.9   160.2   242.2   297.6   388.1   632.8  1202.3  2359.7  4523.6  8917.8 15046.8 19867.1  69330.7    69443
read      273.4   253.3    86.8   137.3   151.3   242.1   278.0   297.1   312.2   330.5   357.3   421.5  1234.5  3282.1  7901.5  12492.3    12517
read      299.6   371.1    74.4   126.7   140.6   265.4   319.8   349.2   370.7   397.0   432.9   508.5  1276.1  3545.5  7804.9  43639.9    43591
read      259.4   196.0    86.8   134.3   149.1   246.5   281.2   299.5   313.4   330.0   352.4   394.7   609.7  2233.8  8005.4  20436.9    20430
read      386.3   679.1    74.4   129.2   144.0   246.7   309.6   355.3   393.1   441.2   521.9   899.1  3418.4  8113.2 14692.6  93790.7    93758
read      219.3   113.5    86.8   138.6   150.0   208.4   234.5   249.5   260.2   272.6   290.4   318.8   424.6  1256.9  3351.1  10467.1    10485
read      242.6   121.3    80.4   134.7   149.0   232.6   265.0   282.1   294.5   310.3   330.6   365.6   519.5  1465.6  3699.8  16509.0    16518
read      333.6   486.0    74.4   124.8   138.6   244.1   309.6   350.3   381.6   418.8   468.9   605.6  2457.2  7116.2 11346.5  83145.1    83230
read      202.8   100.2    86.8   139.1   147.5   188.5   210.2   222.9   232.2   244.4   260.9   289.5   414.3  1332.5  3143.5   5482.0     5484
read      289.1   241.9    80.4   124.8   138.1   256.5   316.3   348.5   371.7   399.2   434.7   502.1  1017.1  3041.5  7933.1  55507.5    55611
read      257.5   127.5    86.8   135.0   149.7   248.2   284.9   304.7   318.6   336.8   361.0   400.4   543.8  1482.1  3606.3  20736.1    20774
read      419.4   750.2    80.4   134.3   150.5   257.8   320.9   369.8   411.5   468.6   575.9  1073.6  3761.1  8908.1 15208.7  96752.5    96726
read      268.3   140.2    86.8   130.1   143.7   260.2   303.7   325.9   341.6   361.3   387.2   430.3   591.9  1575.0  4050.5  32467.6    32442
read      339.7   498.0    80.4   126.8   140.3   252.3   318.1   358.6   388.9   425.6   477.0   628.8  2421.9  7071.8 12999.6  73026.6    73039
read      338.3   485.3    80.4   127.0   140.6   252.9   319.0   359.8   390.3   427.1   478.5   615.6  2347.2  7040.3 11880.0  74070.1    74055
read      289.0   268.9    74.4   126.5   139.8   259.7   317.6   347.8   369.9   395.4   428.4   486.6   873.5  3632.2  9076.4  51264.1    51197
read      300.9   294.3    80.4   125.7   139.6   260.6   321.5   355.8   380.5   410.0   450.9   529.7  1178.3  3954.8  8556.7  59536.4    59442
read      283.7   287.7    74.4   128.5   143.4   260.5   305.8   329.3   345.8   367.4   396.1   448.9   822.7  4566.4  9641.7  35673.9    35654
read      372.1   616.5    74.4   125.2   140.5   258.8   326.3   370.3   404.2   448.2   513.9   749.7  2943.7  8045.6 15161.4  78772.5    78747
read      281.2   237.8    80.4   128.0   141.2   260.5   310.7   336.7   355.2   376.7   405.5   460.4   729.9  3819.6  7462.5  42232.9    42212
read      291.1   246.9    80.4   127.5   140.6   260.5   317.6   347.8   370.1   396.3   430.9   494.3   976.2  3642.2  7563.9  52467.9    52488
