Random waveform, supplied seed
Total number of intervals = 94 (6927, 52892, 98921, 61129, 40613, 53226, 38560, 103465, 104758, 94759, 37799, 8296, 69443, 12517, 43591, 20430, 93758, 10485, 16518, 83230, 5484, 55611, 20774, 96726, 32442, 73039, 74055, 51197, 59442, 35654, 78747, 42212, 52488, 36950, 16762, 79473, 61431, 87172, 108181, 80515, 37149, 13444, 72057, 70041, 90162, 52082, 24258, 72013, 58012, 45398, 50177, 34504, 66010, 73937, 55020, 53235, 97743, 5419, 14764, 7451, 48208, 16149, 78989, 18886, 75954, 44409, 16431, 85707, 58253, 103867, 21604, 90401, 84467, 99700, 32052, 18173, 67789, 51929, 83850, 18614, 29315, 108090, 27024, 49907, 9150, 34328, 51881, 14569, 81517, 78694, 93409, 39093, 18729, 70818)
Average QPS expected = 53345
Timestamp start: 1778437685689
Timestamp end: 1778439085995

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      201.1    90.0    86.8   139.1   149.0   192.7   213.5   225.5   233.7   245.1   259.2   281.9   337.4   593.6  3870.9   6887.4     6927
read      277.4   205.1    80.4   125.2   138.2   251.6   309.7   339.5   360.7   385.2   417.2   470.2   803.6  2783.3  6675.7  52793.0    52892
read      382.2   643.9    74.4   131.6   146.9   250.3   314.9   362.9   402.5   455.8   542.3   874.0  3084.7  8441.2 14002.5  98979.7    98921
read      283.0   254.8    74.4   123.2   136.3   248.5   311.2   344.9   368.9   396.3   431.5   495.2   885.1  3300.9  9170.8  61037.4    61129
read      270.5   185.2    80.4   125.7   138.9   255.6   306.0   331.4   348.8   369.9   397.1   442.7   641.5  2366.8  7588.5  40701.1    40613
read      278.9   215.4    74.4   123.7   137.0   252.4   311.8   342.8   365.1   391.0   424.4   480.6   762.9  3046.1  7670.9  53150.5    53226
read      272.7   197.4    80.4   127.5   140.4   256.6   305.6   330.0   346.6   367.5   394.6   438.7   683.0  2738.6  7206.8  38601.6    38560
read      361.5   580.2    80.4   131.3   146.4   245.5   309.6   358.2   397.9   447.5   521.8   747.6  2761.8  7880.7 12786.5 103428.6   103465
read      399.1   862.3    74.4   133.0   149.2   249.8   313.7   365.4   410.3   470.0   577.0   995.1  3296.1  8585.3 15509.3 104721.5   104758
read      345.0   561.1    74.4   128.3   142.2   242.2   306.8   351.3   386.7   428.8   487.7   639.8  2618.5  7872.0 12892.8  94735.5    94759
read      270.9   182.7    80.4   126.3   139.8   256.5   304.9   329.6   346.5   367.8   395.6   441.1   635.6  2464.4  6630.5  37815.7    37799
read      223.7   167.1    86.8   139.8   150.3   202.1   228.7   243.8   254.8   270.0   290.9   333.7   630.8  1747.0  7643.9   8262.5     8296
read      297.1   311.7    74.4   121.8   135.0   244.4   309.8   346.6   373.7   404.7   446.9   528.2  1416.8  4149.1  8316.4  69522.8    69443
read      231.5   161.9    86.8   137.6   149.8   216.2   244.8   260.4   271.5   285.8   304.4   337.9   577.1  1977.1  7448.7  12483.2    12517
read      289.0   242.9    80.4   128.0   141.4   262.2   317.0   346.2   368.1   393.8   427.7   485.6   874.1  3400.6  7768.4  43465.6    43591
read      256.3   130.6    80.4   134.5   149.1   246.3   282.6   301.9   316.0   333.5   356.4   396.1   569.6  1652.3  3326.5  20478.9    20430
read      354.0   614.4    80.4   127.5   141.3   239.6   302.2   345.6   381.2   424.6   487.2   680.9  2903.4  8123.8 15409.3  93623.1    93758
read      228.1    95.9    80.4   143.6   155.4   217.7   244.8   260.0   270.8   284.3   301.7   332.6   450.9  1306.5  2615.9  10503.8    10485
read      244.4   125.0    80.4   134.7   149.3   231.9   265.3   282.9   295.4   312.0   333.6   371.0   594.9  1549.1  3297.1  16496.7    16518
read      374.3   647.2    74.4   124.3   139.6   252.6   320.4   365.9   400.7   445.1   513.6   793.9  3120.8  8293.7 15532.0  83109.3    83230
read      220.0   210.9    93.8   141.4   151.2   199.2   224.4   238.3   249.5   263.3   281.5   314.6   570.9  2003.4  9983.0   5466.1     5484
read      291.9   235.0    74.4   121.5   135.5   257.9   320.3   355.3   380.3   410.0   451.1   526.5   955.0  3314.6  7664.4  55517.7    55611
read      257.8   124.9    80.4   134.6   150.2   247.4   284.7   304.7   318.8   337.0   360.9   400.4   574.5  1507.8  3223.9  20805.5    20774
read      390.5   693.2    80.4   129.2   144.8   250.5   316.1   366.9   409.5   464.8   555.7   895.4  3303.8  8829.6 16872.7  96680.7    96726
read      271.3   168.3    74.4   128.0   142.4   257.3   302.5   325.8   342.5   363.1   390.2   435.3   704.4  2198.4  5746.9  32439.0    32442
read      338.3   482.2    74.4   123.0   137.4   250.8   320.8   365.6   398.5   438.6   498.2   650.5  2202.1  7273.8 11265.6  72962.7    73039
read      337.0   475.6    74.4   122.3   136.7   250.6   318.5   361.1   393.0   431.2   487.6   639.3  2268.1  7076.0 11391.3  74030.3    74055
read      316.1   415.9    80.4   125.2   140.2   265.5   326.0   360.1   384.5   413.7   454.5   536.4  1373.8  6931.7 11119.2  51205.0    51197
read      323.9   491.0    80.4   124.2   139.3   261.6   325.0   362.1   388.9   421.3   465.4   562.9  1714.3  6788.6 13516.6  59364.3    59442
read      269.2   173.6    80.4   126.3   140.5   255.6   302.0   325.5   342.4   363.1   390.0   434.8   635.3  2331.3  7098.5  35606.3    35654
read      342.0   497.0    74.4   124.3   138.8   249.1   316.0   359.1   391.9   431.2   487.6   638.9  2507.1  6897.5 11175.0  78729.8    78747
read      276.1   175.6    80.4   127.0   141.0   259.5   311.1   337.8   356.7   378.2   406.5   457.9   691.2  2336.8  5353.1  42114.8    42212
read      315.8   397.4    74.4   126.0   140.9   263.7   324.3   358.4   382.9   412.0   453.4   542.0  1422.6  6234.1 11769.3  52524.1    52488
read      271.9   178.7    80.4   125.2   139.8   256.0   304.0   329.1   346.5   368.7   397.6   448.7   685.0  2273.0  6334.8  36991.7    36950
read      247.6   176.4    80.4   136.0   150.5   232.9   266.3   284.1   296.5   313.3   335.4   373.3   580.0  1997.0  7849.3  16755.5    16762
read      376.5   647.1    74.4   125.7   140.8   255.5   325.2   371.9   407.9   454.2   526.4   772.5  3168.0  8652.8 15606.5  79560.7    79473
read      313.5   361.7    74.4   122.1   136.3   257.5   322.9   361.5   389.4   422.7   468.1   575.9  1462.7  4935.9 10296.6  61397.9    61431
read      424.5   753.6    74.4   127.6   143.1   258.8   331.4   383.5   426.7   487.6   614.6  1315.4  3522.7  9836.5 16883.6  87058.6    87172
read      304.9   405.4    74.4   129.3   144.1   241.8   297.6   329.2   351.9   379.6   419.7   510.7  1712.9  6278.2 12045.4 108043.5   108181
read      317.5   444.5    74.4   125.2   139.9   247.2   308.7   342.9   369.0   401.9   453.5   571.4  1871.7  6937.1 12217.8  80518.0    80515
read      290.5   295.3    80.4   128.1   142.3   262.3   313.4   340.3   359.9   382.7   413.4   470.5   934.2  3928.3  9996.5  37186.9    37149
read      239.5   116.8    80.4   140.9   154.4   228.4   259.3   275.2   288.0   302.4   321.1   358.7   529.2  1274.8  4220.5  13448.0    13444
read      340.1   519.5    74.4   122.8   136.9   250.6   318.9   362.1   393.8   431.6   486.9   637.4  2280.4  7797.3 13601.4  72088.9    72057
