Random waveform, supplied seed
Total number of intervals = 100 (6927, 52892, 98921, 61129, 40613, 53226, 38560, 103465, 104758, 94759, 37799, 8296, 69443, 12517, 43591, 20430, 93758, 10485, 16518, 83230, 5484, 55611, 20774, 96726, 32442, 73039, 74055, 51197, 59442, 35654, 78747, 42212, 52488, 36950, 16762, 79473, 61431, 87172, 108181, 80515, 37149, 13444, 72057, 70041, 90162, 52082, 24258, 72013, 58012, 45398, 50177, 34504, 66010, 73937, 55020, 53235, 97743, 5419, 14764, 7451, 48208, 16149, 78989, 18886, 75954, 44409, 16431, 85707, 58253, 103867, 21604, 90401, 84467, 99700, 32052, 18173, 67789, 51929, 83850, 18614, 29315, 108090, 27024, 49907, 9150, 34328, 51881, 14569, 81517, 78694, 93409, 39093, 18729, 70818, 21942, 91810, 39588, 40957, 62645, 15539)
Average QPS expected = 52869
Timestamp start: 1778608682058
Timestamp end: 1778610182356

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      237.1   116.3    93.8   164.6   179.3   232.0   250.2   260.4   267.7   275.0   288.4   308.5   367.9  1144.8  7320.4   6880.0     6927
read      305.1   349.1    80.4   132.0   147.2   264.1   317.9   346.0   367.1   392.7   429.3   505.8  1218.3  5422.4 10570.6  52879.4    52892
read      449.5   750.3    74.4   136.5   154.3   266.4   337.5   392.8   441.3   517.5   694.5  1397.7  3617.0  8670.0 14780.3  98881.4    98921
read      308.0   316.3    74.4   128.2   143.0   262.4   324.2   358.1   382.9   412.8   456.1   552.5  1260.8  4186.3  9742.9  61173.8    61129
read      293.3   231.0    80.4   136.5   152.2   270.0   317.3   342.2   360.5   381.8   410.5   466.4   906.0  3077.2  7923.8  40575.4    40613
read      299.1   277.0    74.4   129.6   144.6   264.4   320.5   351.1   372.7   399.1   435.0   506.8  1074.0  3589.1  9706.1  53124.2    53226
read      282.5   185.2    80.4   135.9   151.3   265.9   310.9   334.3   350.6   370.3   397.1   445.8   758.0  2546.6  7216.4  38591.5    38560
read      551.1   970.4    74.4   145.8   166.0   274.9   346.7   407.9   470.0   598.5  1041.3  2337.1  5281.9  9235.3 16783.4 103307.1   103465
read      626.8  1072.3    80.4   159.6   181.0   291.3   361.1   418.7   479.6   636.3  1468.2  3129.3  5991.0  9192.4 16484.8 104842.1   104758
read      548.5   886.3    74.4   145.8   165.8   283.2   362.8   431.7   509.3   699.1  1219.4  2019.1  4277.8  8871.3 15470.5  94706.1    94759
read      291.6   218.7    80.4   137.7   153.5   272.4   318.6   342.6   360.5   381.3   409.7   464.7   773.2  2783.3  7870.8  37791.1    37799
read      241.9   118.8    93.8   161.7   176.3   231.4   251.6   263.5   271.5   282.4   295.9   321.3   498.8  1555.8  5206.3   8290.3     8296
read      347.2   531.6    74.4   127.3   142.1   258.3   325.2   364.9   394.5   431.6   488.7   664.8  2356.7  7789.5 14041.0  69458.3    69443
read      254.1   129.1    86.8   157.2   175.2   244.2   268.2   281.5   291.5   303.7   319.3   347.9   525.3  1656.9  5034.1  12499.7    12517
read      302.0   293.6    80.4   135.6   151.4   272.5   324.0   350.9   370.4   394.1   426.8   491.0   994.3  3707.4 10514.4  43654.9    43591
read      272.5   161.4    86.8   151.0   169.0   262.1   292.3   309.0   320.1   335.6   355.0   391.4   622.3  2086.7  7506.0  20396.8    20430
read      468.5   866.6    74.4   137.3   155.1   265.4   335.0   388.8   435.7   508.8   685.1  1428.3  4850.3  9282.9 17533.2  93886.7    93758
read      251.9   200.4    86.8   157.7   174.8   235.6   258.0   270.4   279.5   291.2   307.2   336.5   629.4  2673.9  7908.6  10473.0    10485
read      260.1   152.6    86.8   152.5   170.7   248.3   274.7   289.9   300.4   314.1   332.6   366.9   623.6  1804.4  7074.9  16523.7    16518
read      374.3   597.3    74.4   127.7   142.9   254.3   324.1   369.2   403.6   451.2   532.3   821.9  2966.5  7970.5 13226.8  83320.6    83230
read      243.3   154.2   101.3   165.8   180.2   230.5   249.0   259.7   267.8   276.5   291.7   318.0   508.6  1757.3  7359.2   5480.3     5484
read      304.4   290.5    74.4   129.4   144.5   265.0   323.3   355.2   378.1   405.8   447.0   533.6  1174.0  3812.2  8965.4  55518.7    55611
read      276.6   157.3    86.8   151.2   170.3   264.9   296.6   314.4   327.5   343.3   366.5   406.0   613.6  2045.0  6824.3  20792.8    20774
read      445.8   766.3    74.4   138.8   156.3   267.6   339.4   394.0   441.5   514.1   671.9  1271.5  3711.5  8983.3 16412.9  96590.0    96726
read      299.8   213.6    80.4   148.3   164.5   279.3   322.7   345.7   363.2   383.6   411.4   466.2   849.7  2873.7  7688.9  32406.3    32442
read      348.3   483.0    74.4   133.8   149.6   264.2   333.3   374.2   404.8   444.3   503.6   685.0  2066.8  7131.5 13052.2  73083.3    73039
read      365.3   583.4    80.4   129.3   144.9   262.3   330.0   371.5   402.8   443.5   506.3   722.4  2689.8  8102.3 13795.5  74080.5    74055
read      311.5   315.9    74.4   133.4   149.1   273.5   329.7   360.0   381.8   407.8   446.2   529.8  1202.4  4777.3  9281.3  51218.5    51197
read      317.2   302.6    74.4   130.3   145.8   269.7   331.6   365.7   390.8   421.9   467.1   589.6  1428.3  3835.8  8278.0  59485.9    59442
read      290.9   181.5    80.4   138.9   155.1   275.4   319.3   342.2   359.0   378.0   404.1   457.5   799.1  2586.7  5410.2  35678.4    35654
read      365.8   560.6    74.4   126.7   141.6   256.6   326.5   370.5   403.8   448.2   521.4   774.5  2735.5  7880.1 11606.8  78777.3    78747
read      287.5   201.5    74.4   134.7   150.6   269.6   315.9   339.7   357.1   377.1   404.3   460.2   805.5  2687.5  7608.1  42315.1    42212
read      278.7   162.5    80.4   134.5   149.9   264.9   316.0   341.0   359.0   379.3   405.0   453.1   637.4  1799.2  6587.9  52540.7    52488
read      274.5   122.1    74.4   142.2   158.5   271.0   310.5   330.2   343.6   360.4   380.5   414.2   530.7  1439.1  3714.2  36932.1    36950
read      255.4   106.0    86.8   156.7   175.9   252.4   275.7   289.0   297.3   309.6   322.5   346.2   431.0  1146.4  4337.2  16789.7    16762
read      289.6   262.0    74.4   131.0   145.4   247.5   305.0   336.7   360.6   391.0   434.5   524.5  1044.8  3301.8  8090.5  79472.8    79473
read      287.7   205.5    74.4   136.5   151.2   260.5   315.4   343.7   364.4   389.0   422.6   484.6   807.2  2782.8  5853.6  61432.1    61431
read      366.5   545.7    74.4   132.9   148.8   259.1   323.7   365.9   400.2   449.8   536.2   787.3  2703.0  7559.6 12077.0  87261.3    87172
read      621.3  1041.3    74.4   163.8   184.9   288.5   367.2   442.0   534.8   823.6  1474.0  2756.3  5091.1 10364.7 18466.4 108181.1   108181
read      445.5   793.3    74.4   136.0   153.6   271.4   345.1   396.1   437.8   500.6   635.9  1267.3  3762.4 10003.7 15595.8  80597.6    80515
