Random waveform, supplied seed
Total number of intervals = 94 (6927, 52892, 98921, 61129, 40613, 53226, 38560, 103465, 104758, 94759, 37799, 8296, 69443, 12517, 43591, 20430, 93758, 10485, 16518, 83230, 5484, 55611, 20774, 96726, 32442, 73039, 74055, 51197, 59442, 35654, 78747, 42212, 52488, 36950, 16762, 79473, 61431, 87172, 108181, 80515, 37149, 13444, 72057, 70041, 90162, 52082, 24258, 72013, 58012, 45398, 50177, 34504, 66010, 73937, 55020, 53235, 97743, 5419, 14764, 7451, 48208, 16149, 78989, 18886, 75954, 44409, 16431, 85707, 58253, 103867, 21604, 90401, 84467, 99700, 32052, 18173, 67789, 51929, 83850, 18614, 29315, 108090, 27024, 49907, 9150, 34328, 51881, 14569, 81517, 78694, 93409, 39093, 18729, 70818)
Average QPS expected = 53345
Timestamp start: 1778604883553
Timestamp end: 1778606283855

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      234.3   128.5    93.8   164.3   178.8   228.5   245.6   254.2   262.1   270.4   282.2   301.3   363.7  1173.5  7380.4   6930.9     6927
read      277.0   187.3    80.4   137.2   151.7   259.8   307.3   330.8   346.6   366.9   393.2   438.7   674.1  2547.0  7597.5  52887.1    52892
read      311.4   354.9    74.4   134.3   149.2   248.5   304.3   338.3   366.1   403.5   467.5   616.6  1522.9  4374.5 11593.1  98902.1    98921
read      270.7   139.4    80.4   133.9   148.2   254.0   305.7   332.2   350.6   372.1   400.8   451.2   621.7  1599.4  3674.9  61008.1    61129
read      273.7   120.1    80.4   144.1   160.0   268.7   309.0   328.9   342.5   359.3   379.6   414.6   542.3  1503.6  3600.3  40626.3    40613
read      271.8   124.9    80.4   136.4   150.8   260.3   309.2   333.7   350.6   370.4   396.6   439.6   589.8  1374.6  3233.3  53279.5    53226
read      269.6   109.3    80.4   142.4   158.0   266.4   305.4   324.3   338.0   353.6   373.0   405.3   513.0  1130.4  3414.8  38587.4    38560
read      325.2   412.4    74.4   134.6   149.5   248.3   304.1   338.7   367.9   410.1   484.3   664.4  1849.1  5865.9 11347.4 103490.9   103465
read      329.2   407.5    74.4   135.5   150.7   250.0   305.2   339.8   369.1   412.1   486.0   673.5  1997.8  5527.0  9861.8 104862.2   104758
read      313.7   354.3    74.4   133.8   148.7   249.2   305.9   339.8   367.4   404.4   467.4   613.4  1636.7  5056.6  8473.5  94867.9    94759
read      269.3   102.7    86.8   143.0   158.7   267.2   305.5   324.1   337.6   352.9   372.0   403.1   501.7   951.7  2711.3  37770.8    37799
