#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      321.3   158.7    93.8   174.1   192.2   290.5   338.8   369.9   395.0   426.9   470.4   561.8   827.5  1964.7  4005.9  29870.8    30000  1778778631447  1778778641593
read      331.8   224.0    93.8   172.7   189.2   284.7   336.7   370.6   398.6   435.6   495.9   623.2  1070.9  2963.8  5362.2  30022.8    30005  1778778643109  1778778653247
read      324.4   244.5   101.3   175.2   191.5   283.6   332.2   362.9   386.9   417.2   461.2   547.7  1013.1  3369.5  9078.0  29954.6    30010  1778778654768  1778778664873
read      323.2   220.0    93.8   170.3   188.6   285.7   334.4   365.0   388.8   418.4   460.0   540.8  1040.3  2937.2  6244.4  29981.3    30015  1778778666394  1778778676499
read      396.8   430.2   101.3   183.2   202.0   304.2   360.3   396.5   427.0   470.3   559.7   858.3  2294.2  5457.7  9982.6  30052.6    30020  1778778678018  1778778688122
read      464.5  7238.0   101.3   177.3   195.4   294.5   345.3   376.9   401.2   432.6   478.2   576.9  1090.3  3804.2 423010.1  29937.5    30025  1778778689644  1778778699753
read      329.8   236.1   101.3   170.4   189.0   287.2   338.0   369.7   395.5   427.8   473.2   574.9  1080.8  3564.2  6341.0  30037.7    30030  1778778701270  1778778711376
read      362.3   455.9   101.3   165.0   179.7   267.4   317.2   351.1   379.4   420.3   489.6   727.3  3106.5  5601.9  6720.6  29988.1    30035  1778778712894  1778778722997
read      333.9   346.1   101.3   165.0   179.0   262.3   308.7   338.8   364.1   399.2   462.5   680.6  1831.3  4453.3  6431.1  30043.4    30040  1778778724512  1778778734615
read      295.0   279.9   101.3   156.6   169.4   243.1   283.1   308.4   328.4   355.6   398.2   510.6  1291.8  3728.8  6374.2  30070.1    30045  1778778736132  1778778746234
read      309.4   282.0   101.3   161.6   174.6   252.0   295.3   324.1   347.8   381.5   436.3   577.2  1327.5  3846.9  6321.2  30006.9    30050  1778778747751  1778778757854
read      300.5   247.0   101.3   162.7   175.8   251.1   291.2   316.9   338.4   367.2   413.8   546.8  1233.3  3198.5  6324.7  29973.5    30055  1778778759372  1778778769476
read      289.2   271.1   101.3   155.3   167.5   237.3   275.8   300.4   320.1   347.3   392.3   517.8  1245.8  3711.1  6410.6  30118.4    30060  1778778770990  1778778781094
read      306.5   285.2   101.3   162.6   176.0   252.6   293.8   319.6   341.6   370.4   415.9   535.6  1360.7  3843.9  6333.4  29958.9    30065  1778778782610  1778778792712
read      323.4   330.6   101.3   161.1   174.6   256.2   301.3   331.6   357.2   392.4   452.3   635.8  1749.6  4207.2  6433.0  30053.0    30070  1778778794228  1778778804335
