Random waveform, supplied seed
Total number of intervals = 80 (6927, 52892, 98921, 61129, 40613, 53226, 38560, 103465, 104758, 94759, 37799, 8296, 69443, 12517, 43591, 20430, 93758, 10485, 16518, 83230, 5484, 55611, 20774, 96726, 32442, 73039, 74055, 51197, 59442, 35654, 78747, 42212, 52488, 36950, 16762, 79473, 61431, 87172, 108181, 80515, 37149, 13444, 72057, 70041, 90162, 52082, 24258, 72013, 58012, 45398, 50177, 34504, 66010, 73937, 55020, 53235, 97743, 5419, 14764, 7451, 48208, 16149, 78989, 18886, 75954, 44409, 16431, 85707, 58253, 103867, 21604, 90401, 84467, 99700, 32052, 18173, 67789, 51929, 83850, 18614)
Average QPS expected = 53849
Timestamp start: 1778434593332
Timestamp end: 1778435793627

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      213.7    94.6    86.8   143.1   154.1   206.0   229.4   242.2   251.3   263.0   277.2   300.7   361.4   669.4  3400.4   6899.5     6927
read      302.9   310.1    74.4   125.2   140.1   268.1   328.5   361.5   385.5   414.3   453.6   526.5  1007.4  4252.8 10805.4  52899.5    52892
read      284.3   337.8    74.4   125.0   139.3   233.4   289.9   320.3   342.0   367.7   401.3   467.8  1450.7  3942.3 11704.7  98792.5    98921
read      312.3   323.0    74.4   121.1   135.7   262.5   326.3   362.9   390.0   423.0   467.7   565.9  1501.0  4474.5  8042.9  61164.2    61129
read      279.2   172.5    74.4   124.0   138.8   266.1   317.6   344.1   363.5   385.8   414.3   461.6   649.8  2344.8  4776.9  40699.6    40613
read      302.0   303.6    74.4   122.2   136.9   266.7   328.4   361.9   385.9   414.4   452.7   521.5  1023.7  4376.6  9562.5  53213.2    53226
read      278.7   145.8    74.4   126.5   141.3   269.1   319.6   345.3   364.2   385.9   413.4   459.7   617.4  1778.8  3860.8  38459.7    38560
read      427.5   729.2    74.4   135.1   152.6   261.8   320.3   359.3   391.8   441.5   579.1  1414.5  3452.3  8095.3 16024.6 103492.1   103465
read      296.2   382.0    74.4   128.4   143.0   240.4   297.1   328.6   351.0   378.2   416.7   494.8  1454.1  5359.7  9629.1 104764.2   104758
read      286.1   363.5    74.4   126.4   140.7   236.5   293.8   324.5   345.8   371.4   404.7   469.9  1098.8  5682.4 10714.5  94787.9    94759
read      257.2   118.6    74.4   126.9   141.2   252.8   293.7   314.9   330.3   347.5   371.6   410.1   508.9  1257.7  3543.1  37873.5    37799
read      229.9   103.9    86.8   142.9   154.6   217.2   245.5   261.2   272.4   287.2   307.1   342.3   505.5  1304.7  2865.1   8303.9     8296
read      347.7   520.5    74.4   122.9   138.0   263.4   331.3   371.9   402.2   439.4   494.2   633.1  2308.3  7773.5 12742.5  69281.9    69443
read      240.3   112.8    74.4   141.1   155.0   230.9   261.6   277.3   289.4   303.5   321.3   354.8   482.0  1366.2  4011.3  12533.2    12517
